Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
rvv,ijk,32,32,32,1,0,0.000106355,0.616198
rvv,ijk,64,64,64,1,0,0.00101232,0.517909
rvv,ijk,96,96,96,1,0,0.007471,0.236845
rvv,ijk,128,128,128,1,0,0.0146391,0.286513
rvv,blocked_register_blocked,32,32,32,1,0,3.18816e-05,2.05561
rvv,blocked_register_blocked,64,64,64,1,0,0.000306817,1.7088
rvv,blocked_register_blocked,96,96,96,1,0,0.00112361,1.57481
rvv,blocked_register_blocked,128,128,128,1,0,0.00265534,1.57957
rvv,mippv2_skylake_register_blocked,32,32,32,1,0,8.21673e-06,7.97592
rvv,mippv2_skylake_register_blocked,64,64,64,1,0,6.47658e-05,8.09514
rvv,mippv2_skylake_register_blocked,96,96,96,1,0,0.000280188,6.31531
rvv,mippv2_skylake_register_blocked,128,128,128,1,0,0.000660206,6.35302
rvv,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,1.84401e-05,3.554
rvv,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,0.000145944,3.59239
rvv,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.000499568,3.54201
rvv,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.00117949,3.55603
rvv,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,1.24326e-05,5.2713
rvv,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,9.80057e-05,5.34957
rvv,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,0.000331879,5.33167
rvv,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.000785339,5.34076
rvv,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,1.99355e-05,3.2874
rvv,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,7.92669e-05,6.61421
rvv,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,0.000358619,4.93412
rvv,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.000637928,6.57489
rvv,mippv2_skylake_panel,32,32,32,1,0,7.21603e-06,9.082
rvv,mippv2_skylake_panel,64,64,64,1,0,6.75138e-05,7.76564
rvv,mippv2_skylake_panel,96,96,96,1,0,0.000256002,6.91194
rvv,mippv2_skylake_panel,128,128,128,1,0,0.000610249,6.8731
rvv,mippv2_skylake_panel_lmul,32,32,32,1,0,1.10227e-05,5.94556
rvv,mippv2_skylake_panel_lmul,64,64,64,1,0,9.94444e-05,5.27217
rvv,mippv2_skylake_panel_lmul,96,96,96,1,0,0.000315088,5.61581
rvv,mippv2_skylake_panel_lmul,128,128,128,1,0,0.000768224,5.45974
rvv,mippv2_skylake_panel_lmul2,32,32,32,1,0,8.65626e-06,7.57094
rvv,mippv2_skylake_panel_lmul2,64,64,64,1,0,7.16791e-05,7.31438
rvv,mippv2_skylake_panel_lmul2,96,96,96,1,0,0.00023919,7.39777
rvv,mippv2_skylake_panel_lmul2,128,128,128,1,0,0.000575013,7.29428
rvv,mippv2_skylake_panel_lmul4,32,32,32,1,0,1.6311e-05,4.0179
rvv,mippv2_skylake_panel_lmul4,64,64,64,1,0,6.49296e-05,8.07472
rvv,mippv2_skylake_panel_lmul4,96,96,96,1,0,0.000300352,5.89133
rvv,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.000536782,7.81379
rvv,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,8.29387e-06,7.90174
rvv,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,6.49963e-05,8.06642
rvv,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,0.000270781,6.53469
rvv,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,0.000641827,6.53495
rvv,mippv2_a76_mr6_nr3,32,32,32,1,0,7.8306e-06,8.36922
rvv,mippv2_a76_mr6_nr3,64,64,64,1,0,5.9987e-05,8.74003
rvv,mippv2_a76_mr6_nr3,96,96,96,1,0,0.000213269,8.29692
rvv,mippv2_a76_mr6_nr3,128,128,128,1,0,0.000513284,8.1715
rvv,mippv2_firestorm_mr4_nr4,32,32,32,1,0,8.29948e-06,7.8964
rvv,mippv2_firestorm_mr4_nr4,64,64,64,1,0,5.27239e-05,9.94403
rvv,mippv2_firestorm_mr4_nr4,96,96,96,1,0,0.000262018,6.75325
rvv,mippv2_firestorm_mr4_nr4,128,128,128,1,0,0.000598457,7.00853
rvv,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,6.90585e-06,9.48992
rvv,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,4.65472e-05,11.2636
rvv,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,0.00022434,7.88745
rvv,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,0.000527614,7.94957
rvv,mippv2_firestorm_mr6_nr4,32,32,32,1,0,8.4218e-06,7.78171
rvv,mippv2_firestorm_mr6_nr4,64,64,64,1,0,6.93442e-05,7.56066
rvv,mippv2_firestorm_mr6_nr4,96,96,96,1,0,0.000290423,6.09274
rvv,mippv2_firestorm_mr6_nr4,128,128,128,1,0,0.000740893,5.66115
rvv,mippv2_firestorm_mr6_nr4_fmaddi,32,32,32,1,0,6.6901e-06,9.79597
rvv,mippv2_firestorm_mr6_nr4_fmaddi,64,64,64,1,0,4.2369e-05,12.3743
rvv,mippv2_firestorm_mr6_nr4_fmaddi,96,96,96,1,0,0.000193993,9.12131
rvv,mippv2_firestorm_mr6_nr4_fmaddi,128,128,128,1,0,0.000463928,9.04084
rvv,mippv2_zen4_mr4_nr4,32,32,32,1,0,8.30464e-06,7.89149
rvv,mippv2_zen4_mr4_nr4,64,64,64,1,0,5.27616e-05,9.93692
rvv,mippv2_zen4_mr4_nr4,96,96,96,1,0,0.000266631,6.63641
rvv,mippv2_zen4_mr4_nr4,128,128,128,1,0,0.000598186,7.01171
rvv,mippv2_zen4_mr4_nr4_fmaddi,32,32,32,1,0,6.90184e-06,9.49543
rvv,mippv2_zen4_mr4_nr4_fmaddi,64,64,64,1,0,4.65049e-05,11.2738
rvv,mippv2_zen4_mr4_nr4_fmaddi,96,96,96,1,0,0.000224918,7.86718
rvv,mippv2_zen4_mr4_nr4_fmaddi,128,128,128,1,0,0.000527111,7.95715
rvv,mippv2_x100_register_blocked_lmul1,32,32,32,1,0,9.25771e-06,7.07907
rvv,mippv2_x100_register_blocked_lmul1,64,64,64,1,0,7.62922e-05,6.87211
rvv,mippv2_x100_register_blocked_lmul1,96,96,96,1,0,0.00023178,7.63429
rvv,mippv2_x100_register_blocked_lmul1,128,128,128,1,0,0.00055448,7.56439
rvv,mippv2_x100_register_blocked_lmul2,32,32,32,1,0,1.35399e-05,4.84021
rvv,mippv2_x100_register_blocked_lmul2,64,64,64,1,0,5.26616e-05,9.95579
rvv,mippv2_x100_register_blocked_lmul2,96,96,96,1,0,0.000231759,7.63498
rvv,mippv2_x100_register_blocked_lmul2,128,128,128,1,0,0.000415071,10.105
rvv,mippv2_x100_register_blocked_lmul4,32,32,32,1,0,2.40652e-05,2.72327
rvv,mippv2_x100_register_blocked_lmul4,64,64,64,1,0,9.41109e-05,5.57096
rvv,mippv2_x100_register_blocked_lmul4,96,96,96,1,0,0.000209304,8.45407
rvv,mippv2_x100_register_blocked_lmul4,128,128,128,1,0,0.000372835,11.2498
rvv,mippv2_x100_register_blocked_apack4,32,32,32,1,0,1.34656e-05,4.86694
rvv,mippv2_x100_register_blocked_apack4,64,64,64,1,0,5.53249e-05,9.47654
rvv,mippv2_x100_register_blocked_apack4,96,96,96,1,0,0.000236084,7.49509
rvv,mippv2_x100_register_blocked_apack4,128,128,128,1,0,0.000412272,10.1736
rvv,mippv2_panel_x100_lmul1,32,32,32,1,0,9.18157e-06,7.13777
rvv,mippv2_panel_x100_lmul1,64,64,64,1,0,7.26853e-05,7.21313
rvv,mippv2_panel_x100_lmul1,96,96,96,1,0,0.000239985,7.37326
rvv,mippv2_panel_x100_lmul1,128,128,128,1,0,0.000570288,7.35471
rvv,mippv2_panel_x100_lmul2,32,32,32,1,0,1.33635e-05,4.90412
rvv,mippv2_panel_x100_lmul2,64,64,64,1,0,5.29484e-05,9.90186
rvv,mippv2_panel_x100_lmul2,96,96,96,1,0,0.000234698,7.53937
rvv,mippv2_panel_x100_lmul2,128,128,128,1,0,0.000421839,9.9429
rvv,mippv2_panel_x100_lmul4,32,32,32,1,0,2.32619e-05,2.81731
rvv,mippv2_panel_x100_lmul4,64,64,64,1,0,9.33e-05,5.61938
rvv,mippv2_panel_x100_lmul4,96,96,96,1,0,0.000205518,8.6098
rvv,mippv2_panel_x100_lmul4,128,128,128,1,0,0.000367754,11.4052
rvv,mippv2_x60_mr6_nr4_fmaddi,32,32,32,1,0,6.71445e-06,9.76044
rvv,mippv2_x60_mr6_nr4_fmaddi,64,64,64,1,0,4.23623e-05,12.3763
rvv,mippv2_x60_mr6_nr4_fmaddi,96,96,96,1,0,0.000194103,9.11616
rvv,mippv2_x60_mr6_nr4_fmaddi,128,128,128,1,0,0.000463993,9.03959
rvv,mippv2_a100_mr7_nr4_pipe,32,32,32,1,0,6.7339e-06,9.73225
rvv,mippv2_a100_mr7_nr4_pipe,64,64,64,1,0,4.37694e-05,11.9784
rvv,mippv2_a100_mr7_nr4_pipe,96,96,96,1,0,0.000171083,10.3428
rvv,mippv2_a100_mr7_nr4_pipe,128,128,128,1,0,0.000356502,11.7652
rvv,mippv2_a100_mr7_nr2_lmul2_pipe,32,32,32,1,0,7.48172e-06,8.75948
rvv,mippv2_a100_mr7_nr2_lmul2_pipe,64,64,64,1,0,4.33816e-05,12.0855
rvv,mippv2_a100_mr7_nr2_lmul2_pipe,96,96,96,1,0,0.000168062,10.5287
rvv,mippv2_a100_mr7_nr2_lmul2_pipe,128,128,128,1,0,0.000358938,11.6853
