Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
rvv,ijk,32,32,32,1,0,0.000337282,0.194306
rvv,ijk,64,64,64,1,0,0.00256082,0.204734
rvv,ijk,96,96,96,1,0,0.00854341,0.207115
rvv,ijk,128,128,128,1,0,0.0201649,0.208
rvv,blocked_register_blocked,32,32,32,1,0,5.38274e-05,1.21752
rvv,blocked_register_blocked,64,64,64,1,0,0.000403392,1.2997
rvv,blocked_register_blocked,96,96,96,1,0,0.001402,1.2621
rvv,blocked_register_blocked,128,128,128,1,0,0.00326926,1.28295
rvv,mippv2_skylake_register_blocked,32,32,32,1,0,7.70865e-06,8.50162
rvv,mippv2_skylake_register_blocked,64,64,64,1,0,6.08801e-05,8.61181
rvv,mippv2_skylake_register_blocked,96,96,96,1,0,0.000239022,7.40298
rvv,mippv2_skylake_register_blocked,128,128,128,1,0,0.000568943,7.37209
rvv,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,1.32724e-05,4.93776
rvv,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,0.000104772,5.00409
rvv,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.000369545,4.78825
rvv,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.000869038,4.82638
rvv,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,1.04771e-05,6.25514
rvv,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,8.20132e-05,6.39273
rvv,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,0.000278206,6.36029
rvv,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.000659641,6.35846
rvv,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,2.57465e-05,2.54543
rvv,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,0.000102736,5.10323
rvv,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,0.000456867,3.87305
rvv,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.00081977,5.11644
rvv,mippv2_skylake_panel,32,32,32,1,0,8.52435e-06,7.68809
