Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
rvv,ijk,32,32,32,1,0,3.49402e-05,1.87566
rvv,ijk,64,64,64,1,0,0.000229406,2.28541
rvv,ijk,96,96,96,1,0,0.00546486,0.323791
rvv,ijk,128,128,128,1,0,0.015674,0.267597
rvv,blocked_register_blocked,32,32,32,1,0,1.2692e-05,5.16357
rvv,blocked_register_blocked,64,64,64,1,0,9.89474e-05,5.29866
rvv,blocked_register_blocked,96,96,96,1,0,0.0012311,1.43731
rvv,blocked_register_blocked,128,128,128,1,0,0.00249322,1.68228
rvv,mippv2_skylake_register_blocked,32,32,32,1,0,1.04584e-05,6.26638
rvv,mippv2_skylake_register_blocked,64,64,64,1,0,8.23464e-05,6.36686
rvv,mippv2_skylake_register_blocked,96,96,96,1,0,0.000327305,5.40618
rvv,mippv2_skylake_register_blocked,128,128,128,1,0,0.000768051,5.46097
rvv,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,1.21953e-05,5.37389
rvv,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,9.69999e-05,5.40503
rvv,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.000749189,2.36185
rvv,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.00176154,2.38105
rvv,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,9.90457e-06,6.61674
rvv,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,7.82328e-05,6.70164
rvv,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,0.000787559,2.24678
rvv,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.0011078,3.78615
rvv,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,1.04474e-05,6.27294
rvv,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,8.22819e-05,6.37185
rvv,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,0.000392093,4.51289
rvv,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.000933799,4.49166
rvv,mippv2_skylake_panel,32,32,32,1,0,1.09491e-05,5.9855
rvv,mippv2_skylake_panel,64,64,64,1,0,9.64822e-05,5.43404
rvv,mippv2_skylake_panel,96,96,96,1,0,0.000455173,3.88747
rvv,mippv2_skylake_panel,128,128,128,1,0,0.001137,3.68891
rvv,mippv2_skylake_panel_lmul,32,32,32,1,0,1.26603e-05,5.1765
rvv,mippv2_skylake_panel_lmul,64,64,64,1,0,0.000100375,5.22331
rvv,mippv2_skylake_panel_lmul,96,96,96,1,0,0.000665288,2.65971
rvv,mippv2_skylake_panel_lmul,128,128,128,1,0,0.0015871,2.64275
rvv,mippv2_skylake_panel_lmul2,32,32,32,1,0,1.06849e-05,6.13349
rvv,mippv2_skylake_panel_lmul2,64,64,64,1,0,8.43605e-05,6.21485
rvv,mippv2_skylake_panel_lmul2,96,96,96,1,0,0.000447224,3.95657
rvv,mippv2_skylake_panel_lmul2,128,128,128,1,0,0.00108163,3.87778
rvv,mippv2_skylake_panel_lmul4,32,32,32,1,0,1.10714e-05,5.9194
rvv,mippv2_skylake_panel_lmul4,64,64,64,1,0,8.62104e-05,6.08149
rvv,mippv2_skylake_panel_lmul4,96,96,96,1,0,0.000393404,4.49785
rvv,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.000947908,4.4248
rvv,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,1.35524e-05,4.83574
rvv,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,0.000107259,4.88804
rvv,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,0.000390831,4.52746
rvv,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,0.000970718,4.32083
rvv,mippv2_a76_mr6_nr3,32,32,32,1,0,1.39369e-05,4.70234
rvv,mippv2_a76_mr6_nr3,64,64,64,1,0,0.000109975,4.76735
rvv,mippv2_a76_mr6_nr3,96,96,96,1,0,0.00042596,4.15408
rvv,mippv2_a76_mr6_nr3,128,128,128,1,0,0.000933636,4.49244
rvv,mippv2_firestorm_mr4_nr4,32,32,32,1,0,1.41835e-05,4.62057
rvv,mippv2_firestorm_mr4_nr4,64,64,64,1,0,0.000112419,4.66371
rvv,mippv2_firestorm_mr4_nr4,96,96,96,1,0,0.000387908,4.56158
rvv,mippv2_firestorm_mr4_nr4,128,128,128,1,0,0.000922904,4.54468
rvv,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,4.71891e-06,13.888
rvv,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,3.66859e-05,14.2913
rvv,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,0.000177254,9.98267
rvv,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,0.000700631,5.98646
rvv,mippv2_firestorm_mr6_nr4,32,32,32,1,0,1.52431e-05,4.2994
rvv,mippv2_firestorm_mr6_nr4,64,64,64,1,0,0.000121356,4.32026
rvv,mippv2_firestorm_mr6_nr4,96,96,96,1,0,0.000489548,3.6145
rvv,mippv2_firestorm_mr6_nr4,128,128,128,1,0,0.00107522,3.90088
rvv,mippv2_firestorm_mr6_nr4_fmaddi,32,32,32,1,0,4.55976e-06,14.3727
rvv,mippv2_firestorm_mr6_nr4_fmaddi,64,64,64,1,0,3.54452e-05,14.7915
rvv,mippv2_firestorm_mr6_nr4_fmaddi,96,96,96,1,0,0.000156392,11.3143
rvv,mippv2_firestorm_mr6_nr4_fmaddi,128,128,128,1,0,0.000370241,11.3286
rvv,mippv2_zen4_mr4_nr4,32,32,32,1,0,1.42717e-05,4.59203
rvv,mippv2_zen4_mr4_nr4,64,64,64,1,0,0.00011329,4.62785
rvv,mippv2_zen4_mr4_nr4,96,96,96,1,0,0.000389108,4.54751
rvv,mippv2_zen4_mr4_nr4,128,128,128,1,0,0.000923313,4.54267
rvv,mippv2_zen4_mr4_nr4_fmaddi,32,32,32,1,0,4.72325e-06,13.8752
rvv,mippv2_zen4_mr4_nr4_fmaddi,64,64,64,1,0,3.67152e-05,14.2799
rvv,mippv2_zen4_mr4_nr4_fmaddi,96,96,96,1,0,0.00024436,7.24125
rvv,mippv2_zen4_mr4_nr4_fmaddi,128,128,128,1,0,0.000408921,10.257
rvv,mippv2_x100_register_blocked_lmul1,32,32,32,1,0,5.3624e-06,12.2214
rvv,mippv2_x100_register_blocked_lmul1,64,64,64,1,0,4.05481e-05,12.93
rvv,mippv2_x100_register_blocked_lmul1,96,96,96,1,0,0.000184567,9.58715
rvv,mippv2_x100_register_blocked_lmul1,128,128,128,1,0,0.000464414,9.03139
rvv,mippv2_x100_register_blocked_lmul2,32,32,32,1,0,4.67972e-06,14.0043
rvv,mippv2_x100_register_blocked_lmul2,64,64,64,1,0,3.50666e-05,14.9512
rvv,mippv2_x100_register_blocked_lmul2,96,96,96,1,0,0.000173772,10.1827
rvv,mippv2_x100_register_blocked_lmul2,128,128,128,1,0,0.000455583,9.20646
rvv,mippv2_x100_register_blocked_lmul4,32,32,32,1,0,5.03766e-06,13.0092
rvv,mippv2_x100_register_blocked_lmul4,64,64,64,1,0,3.7837e-05,13.8565
rvv,mippv2_x100_register_blocked_lmul4,96,96,96,1,0,0.000199468,8.87094
rvv,mippv2_x100_register_blocked_lmul4,128,128,128,1,0,0.000527262,7.95488
rvv,mippv2_x100_register_blocked_apack4,32,32,32,1,0,4.72703e-06,13.8641
rvv,mippv2_x100_register_blocked_apack4,64,64,64,1,0,3.57158e-05,14.6795
rvv,mippv2_x100_register_blocked_apack4,96,96,96,1,0,0.000180941,9.77926
rvv,mippv2_x100_register_blocked_apack4,128,128,128,1,0,0.000485972,8.63075
rvv,mippv2_panel_x100_lmul1,32,32,32,1,0,5.13693e-06,12.7578
rvv,mippv2_panel_x100_lmul1,64,64,64,1,0,4.18898e-05,12.5159
rvv,mippv2_panel_x100_lmul1,96,96,96,1,0,0.000206954,8.55008
rvv,mippv2_panel_x100_lmul1,128,128,128,1,0,0.00110269,3.80372
rvv,mippv2_panel_x100_lmul2,32,32,32,1,0,4.90877e-06,13.3508
rvv,mippv2_panel_x100_lmul2,64,64,64,1,0,3.86745e-05,13.5564
rvv,mippv2_panel_x100_lmul2,96,96,96,1,0,0.000202796,8.72537
rvv,mippv2_panel_x100_lmul2,128,128,128,1,0,0.000560697,7.48052
rvv,mippv2_panel_x100_lmul4,32,32,32,1,0,7.12747e-06,9.19485
rvv,mippv2_panel_x100_lmul4,64,64,64,1,0,5.90674e-05,8.87609
rvv,mippv2_panel_x100_lmul4,96,96,96,1,0,0.000311446,5.68147
rvv,mippv2_panel_x100_lmul4,128,128,128,1,0,0.000780513,5.37378
rvv,mippv2_x60_mr6_nr4_fmaddi,32,32,32,1,0,4.57533e-06,14.3238
rvv,mippv2_x60_mr6_nr4_fmaddi,64,64,64,1,0,3.54282e-05,14.7986
rvv,mippv2_x60_mr6_nr4_fmaddi,96,96,96,1,0,0.000156097,11.3357
rvv,mippv2_x60_mr6_nr4_fmaddi,128,128,128,1,0,0.000375452,11.1713
