Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
native,ijk,32,32,32,1,0,9.34631e-06,7.01196
native,ijk,64,64,64,1,0,9.43781e-05,5.55519
native,ijk,96,96,96,1,0,0.00058685,3.0152
native,ijk,128,128,128,1,0,0.00154578,2.71339
native,blocked_register_blocked,32,32,32,1,0,4.13355e-06,15.8546
native,blocked_register_blocked,64,64,64,1,0,2.96617e-05,17.6756
native,blocked_register_blocked,96,96,96,1,0,0.000107727,16.4255
native,blocked_register_blocked,128,128,128,1,0,0.000243234,17.2439
native,mippv2_skylake_register_blocked,32,32,32,1,0,1.00702e-06,65.0795
native,mippv2_skylake_register_blocked,64,64,64,1,0,8.39205e-06,62.4743
native,mippv2_skylake_register_blocked,96,96,96,1,0,2.81928e-05,62.7634
native,mippv2_skylake_register_blocked,128,128,128,1,0,6.58094e-05,63.7341
native,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,1.61449e-06,40.5924
native,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,1.67717e-05,31.2603
native,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,6.91651e-05,25.5833
native,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.000195426,21.4624
native,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,1.22471e-06,53.5116
native,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,1.16834e-05,44.8746
native,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,4.85009e-05,36.4833
native,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.000107701,38.9441
native,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,1.15319e-06,56.8303
native,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,8.71494e-06,60.1597
native,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,3.07612e-05,57.5228
native,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,7.10179e-05,59.0598
native,mippv2_skylake_panel,32,32,32,1,0,1.29172e-06,50.7354
native,mippv2_skylake_panel,64,64,64,1,0,9.25746e-06,56.6341
native,mippv2_skylake_panel,96,96,96,1,0,3.43234e-05,51.553
native,mippv2_skylake_panel,128,128,128,1,0,7.99526e-05,52.4599
native,mippv2_skylake_panel_lmul,32,32,32,1,0,1.44187e-06,45.4522
native,mippv2_skylake_panel_lmul,64,64,64,1,0,1.29617e-05,40.449
native,mippv2_skylake_panel_lmul,96,96,96,1,0,6.12915e-05,28.8698
native,mippv2_skylake_panel_lmul,128,128,128,1,0,0.000143862,29.155
native,mippv2_skylake_panel_lmul2,32,32,32,1,0,1.21237e-06,54.0561
native,mippv2_skylake_panel_lmul2,64,64,64,1,0,9.08197e-06,57.7284
native,mippv2_skylake_panel_lmul2,96,96,96,1,0,3.4145e-05,51.8222
native,mippv2_skylake_panel_lmul2,128,128,128,1,0,8.35967e-05,50.1731
native,mippv2_skylake_panel_lmul4,32,32,32,1,0,2.33501e-06,28.0666
native,mippv2_skylake_panel_lmul4,64,64,64,1,0,2.19048e-05,23.9348
native,mippv2_skylake_panel_lmul4,96,96,96,1,0,5.6238e-05,31.464
native,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.000133224,31.483
native,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,1.01892e-06,64.3191
native,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,7.57955e-06,69.1714
