Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
native,ijk,32,32,32,1,0,6.05119e-06,10.8303
native,ijk,64,64,64,1,0,4.34163e-05,12.0758
native,ijk,96,96,96,1,0,0.000363582,4.86678
native,ijk,128,128,128,1,0,0.00128521,3.26353
native,blocked_register_blocked,32,32,32,1,0,2.50064e-06,26.2077
native,blocked_register_blocked,64,64,64,1,0,1.70679e-05,30.7177
native,blocked_register_blocked,96,96,96,1,0,8.21163e-05,21.5484
native,blocked_register_blocked,128,128,128,1,0,0.000186618,22.4753
native,mippv2_skylake_register_blocked,32,32,32,1,0,1.11793e-06,58.6227
native,mippv2_skylake_register_blocked,64,64,64,1,0,8.7187e-06,60.1337
native,mippv2_skylake_register_blocked,96,96,96,1,0,2.95773e-05,59.8254
native,mippv2_skylake_register_blocked,128,128,128,1,0,6.88218e-05,60.9444
native,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,1.79203e-06,36.5708
native,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,1.84198e-05,28.4632
native,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,9.24627e-05,19.1371
native,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.000177878,23.5796
native,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,1.49646e-06,43.7939
native,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,1.15618e-05,45.3465
native,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,4.60782e-05,38.4015
native,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.000107267,39.1016
native,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,1.33375e-06,49.1367
native,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,1.07291e-05,48.866
native,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,3.98269e-05,44.429
native,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,9.27405e-05,45.2262
native,mippv2_skylake_panel,32,32,32,1,0,1.26569e-06,51.7789
native,mippv2_skylake_panel,64,64,64,1,0,9.79112e-06,53.5473
native,mippv2_skylake_panel,96,96,96,1,0,3.48249e-05,50.8105
native,mippv2_skylake_panel,128,128,128,1,0,8.11507e-05,51.6854
native,mippv2_skylake_panel_lmul,32,32,32,1,0,1.43701e-06,45.6058
native,mippv2_skylake_panel_lmul,64,64,64,1,0,1.24757e-05,42.0246
native,mippv2_skylake_panel_lmul,96,96,96,1,0,6.04509e-05,29.2712
native,mippv2_skylake_panel_lmul,128,128,128,1,0,0.000146456,28.6387
native,mippv2_skylake_panel_lmul2,32,32,32,1,0,1.23818e-06,52.9292
native,mippv2_skylake_panel_lmul2,64,64,64,1,0,9.60562e-06,54.5814
native,mippv2_skylake_panel_lmul2,96,96,96,1,0,3.56576e-05,49.624
native,mippv2_skylake_panel_lmul2,128,128,128,1,0,8.19883e-05,51.1574
native,mippv2_skylake_panel_lmul4,32,32,32,1,0,1.81267e-06,36.1544
native,mippv2_skylake_panel_lmul4,64,64,64,1,0,1.54244e-05,33.9907
native,mippv2_skylake_panel_lmul4,96,96,96,1,0,5.18084e-05,34.1541
native,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.000121175,34.6137
native,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,9.6207e-07,68.1198
native,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,7.23226e-06,72.493
native,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,2.38795e-05,74.0999
native,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,5.6085e-05,74.7847
native,mippv2_a76_mr6_nr3,32,32,32,1,0,1.3133e-06,49.9019
native,mippv2_a76_mr6_nr3,64,64,64,1,0,1.12873e-05,46.4493
native,mippv2_a76_mr6_nr3,96,96,96,1,0,3.88066e-05,45.5972
native,mippv2_a76_mr6_nr3,128,128,128,1,0,8.9638e-05,46.7916
native,mippv2_firestorm_mr4_nr4,32,32,32,1,0,1.39807e-06,46.876
native,mippv2_firestorm_mr4_nr4,64,64,64,1,0,1.1818e-05,44.3634
native,mippv2_firestorm_mr4_nr4,96,96,96,1,0,5.90859e-05,29.9474
native,mippv2_firestorm_mr4_nr4,128,128,128,1,0,9.42013e-05,44.5249
native,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,1.39765e-06,46.89
native,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,1.07265e-05,48.8779
native,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,3.73792e-05,47.3384
native,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,8.80237e-05,47.6497
native,mippv2_firestorm_mr6_nr4,32,32,32,1,0,1.56509e-06,41.8735
native,mippv2_firestorm_mr6_nr4,64,64,64,1,0,1.26935e-05,41.3035
native,mippv2_firestorm_mr6_nr4,96,96,96,1,0,4.22057e-05,41.9249
native,mippv2_firestorm_mr6_nr4,128,128,128,1,0,9.93117e-05,42.2337
native,mippv2_firestorm_mr6_nr4_fmaddi,32,32,32,1,0,1.56514e-06,41.8723
native,mippv2_firestorm_mr6_nr4_fmaddi,64,64,64,1,0,1.25934e-05,41.6321
native,mippv2_firestorm_mr6_nr4_fmaddi,96,96,96,1,0,4.21787e-05,41.9518
native,mippv2_firestorm_mr6_nr4_fmaddi,128,128,128,1,0,9.88148e-05,42.4461
native,mippv2_zen4_mr4_nr4,32,32,32,1,0,1.39262e-06,47.0595
native,mippv2_zen4_mr4_nr4,64,64,64,1,0,1.0892e-05,48.1351
native,mippv2_zen4_mr4_nr4,96,96,96,1,0,3.83743e-05,46.1109
native,mippv2_zen4_mr4_nr4,128,128,128,1,0,9.02287e-05,46.4853
native,mippv2_zen4_mr4_nr4_fmaddi,32,32,32,1,0,1.37687e-06,47.5979
native,mippv2_zen4_mr4_nr4_fmaddi,64,64,64,1,0,1.08316e-05,48.4035
native,mippv2_zen4_mr4_nr4_fmaddi,96,96,96,1,0,5.86759e-05,30.1567
native,mippv2_zen4_mr4_nr4_fmaddi,128,128,128,1,0,8.93066e-05,46.9652
native,mippv2_x100_register_blocked_lmul1,32,32,32,1,0,1.12238e-06,58.39
native,mippv2_x100_register_blocked_lmul1,64,64,64,1,0,1.04681e-05,50.0844
native,mippv2_x100_register_blocked_lmul1,96,96,96,1,0,3.44978e-05,51.2923
native,mippv2_x100_register_blocked_lmul1,128,128,128,1,0,8.24301e-05,50.8832
native,mippv2_x100_register_blocked_lmul2,32,32,32,1,0,1.20185e-06,54.5291
native,mippv2_x100_register_blocked_lmul2,64,64,64,1,0,9.51904e-06,55.0778
native,mippv2_x100_register_blocked_lmul2,96,96,96,1,0,3.49271e-05,50.6619
native,mippv2_x100_register_blocked_lmul2,128,128,128,1,0,8.18676e-05,51.2328
native,mippv2_x100_register_blocked_lmul4,32,32,32,1,0,1.63755e-06,40.0209
native,mippv2_x100_register_blocked_lmul4,64,64,64,1,0,1.31203e-05,39.9601
native,mippv2_x100_register_blocked_lmul4,96,96,96,1,0,4.75953e-05,37.1775
native,mippv2_x100_register_blocked_lmul4,128,128,128,1,0,0.000111691,37.5527
native,mippv2_x100_register_blocked_apack4,32,32,32,1,0,1.04452e-06,62.7428
native,mippv2_x100_register_blocked_apack4,64,64,64,1,0,9.09034e-06,57.6753
native,mippv2_x100_register_blocked_apack4,96,96,96,1,0,3.16139e-05,55.9713
native,mippv2_x100_register_blocked_apack4,128,128,128,1,0,7.94065e-05,52.8207
native,mippv2_panel_x100_lmul1,32,32,32,1,0,1.10086e-06,59.5319
native,mippv2_panel_x100_lmul1,64,64,64,1,0,1.015e-05,51.6537
native,mippv2_panel_x100_lmul1,96,96,96,1,0,3.70425e-05,47.7687
native,mippv2_panel_x100_lmul1,128,128,128,1,0,8.48087e-05,49.4561
native,mippv2_panel_x100_lmul2,32,32,32,1,0,1.14943e-06,57.0163
native,mippv2_panel_x100_lmul2,64,64,64,1,0,9.97572e-06,52.5564
