Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
native,ijk,32,32,32,1,0,1.4699e-05,4.45853
native,ijk,64,64,64,1,0,0.000148803,3.52337
native,ijk,96,96,96,1,0,0.000649305,2.72518
native,ijk,128,128,128,1,0,0.00165486,2.53454
native,blocked_register_blocked,32,32,32,1,0,4.15706e-06,15.765
native,blocked_register_blocked,64,64,64,1,0,3.70283e-05,14.1591
native,blocked_register_blocked,96,96,96,1,0,0.000132916,13.3127
native,blocked_register_blocked,128,128,128,1,0,0.000338618,12.3865
native,mippv2_skylake_register_blocked,32,32,32,1,0,2.04092e-06,32.1111
native,mippv2_skylake_register_blocked,64,64,64,1,0,1.85841e-05,28.2116
native,mippv2_skylake_register_blocked,96,96,96,1,0,6.65589e-05,26.5851
native,mippv2_skylake_register_blocked,128,128,128,1,0,0.000170025,24.6687
native,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,4.19914e-06,15.607
native,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,4.57419e-05,11.4619
native,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.000169543,10.4367
native,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.000425939,9.84719
native,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,2.78226e-06,23.5549
native,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,2.76286e-05,18.9763
native,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,9.87588e-05,17.9171
native,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.000277604,15.1089
native,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,2.02184e-06,32.414
native,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,1.86773e-05,28.0708
native,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,6.68064e-05,26.4866
native,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.000168328,24.9174
native,mippv2_skylake_panel,32,32,32,1,0,2.17524e-06,30.1282
native,mippv2_skylake_panel,64,64,64,1,0,1.91378e-05,27.3954
native,mippv2_skylake_panel,96,96,96,1,0,6.93842e-05,25.5025
native,mippv2_skylake_panel,128,128,128,1,0,0.000180413,23.2484
native,mippv2_skylake_panel_lmul,32,32,32,1,0,2.88241e-06,22.7365
native,mippv2_skylake_panel_lmul,64,64,64,1,0,2.80588e-05,18.6853
native,mippv2_skylake_panel_lmul,96,96,96,1,0,0.00010132,17.4641
native,mippv2_skylake_panel_lmul,128,128,128,1,0,0.000286897,14.6196
native,mippv2_skylake_panel_lmul2,32,32,32,1,0,2.09905e-06,31.2217
native,mippv2_skylake_panel_lmul2,64,64,64,1,0,1.89142e-05,27.7193
native,mippv2_skylake_panel_lmul2,96,96,96,1,0,6.87094e-05,25.753
native,mippv2_skylake_panel_lmul2,128,128,128,1,0,0.000180044,23.296
native,mippv2_skylake_panel_lmul4,32,32,32,1,0,1.5904e-06,41.2071
native,mippv2_skylake_panel_lmul4,64,64,64,1,0,1.22218e-05,42.8977
native,mippv2_skylake_panel_lmul4,96,96,96,1,0,4.08836e-05,43.2807
native,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.000103382,40.5709
native,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,1.82869e-06,35.8377
native,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,1.5111e-05,34.6958
native,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,4.94547e-05,35.7797
native,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,0.000128421,32.6605
native,mippv2_a76_mr6_nr3,32,32,32,1,0,1.93814e-06,33.8139
native,mippv2_a76_mr6_nr3,64,64,64,1,0,1.44692e-05,36.2347
native,mippv2_a76_mr6_nr3,96,96,96,1,0,4.73363e-05,37.3809
native,mippv2_a76_mr6_nr3,128,128,128,1,0,0.000119151,35.2017
native,mippv2_firestorm_mr4_nr4,32,32,32,1,0,1.52658e-06,42.93
native,mippv2_firestorm_mr4_nr4,64,64,64,1,0,1.21016e-05,43.3238
native,mippv2_firestorm_mr4_nr4,96,96,96,1,0,3.94709e-05,44.8298
native,mippv2_firestorm_mr4_nr4,128,128,128,1,0,9.89692e-05,42.3799
native,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,1.52898e-06,42.8624
native,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,1.20443e-05,43.5299
native,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,3.95791e-05,44.7072
native,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,9.8827e-05,42.4409
