Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
native,ijk,32,32,32,1,0,8.82911e-06,7.42272
native,ijk,64,64,64,1,0,7.69414e-05,6.81412
native,ijk,96,96,96,1,0,0.00027844,6.35495
native,ijk,128,128,128,1,0,0.000734234,5.71249
native,blocked_register_blocked,32,32,32,1,0,2.98817e-06,21.9318
native,blocked_register_blocked,64,64,64,1,0,2.86623e-05,18.2919
native,blocked_register_blocked,96,96,96,1,0,0.00010132,17.4642
native,blocked_register_blocked,128,128,128,1,0,0.000271605,15.4426
native,mippv2_skylake_register_blocked,32,32,32,1,0,2.12494e-06,30.8413
native,mippv2_skylake_register_blocked,64,64,64,1,0,1.90991e-05,27.4509
native,mippv2_skylake_register_blocked,96,96,96,1,0,6.75918e-05,26.1788
native,mippv2_skylake_register_blocked,128,128,128,1,0,0.000167433,25.0507
native,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,3.9085e-06,16.7675
native,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,4.1444e-05,12.6505
native,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.000166536,10.6252
native,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.000417469,10.047
native,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,2.80238e-06,23.3858
native,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,2.77728e-05,18.8778
native,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,9.96689e-05,17.7535
native,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.00026913,15.5847
native,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,2.06168e-06,31.7877
native,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,1.9033e-05,27.5463
native,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,6.7544e-05,26.1973
native,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.000166543,25.1845
native,mippv2_skylake_panel,32,32,32,1,0,2.10276e-06,31.1667
native,mippv2_skylake_panel,64,64,64,1,0,1.88326e-05,27.8395
native,mippv2_skylake_panel,96,96,96,1,0,6.90529e-05,25.6249
native,mippv2_skylake_panel,128,128,128,1,0,0.000175146,23.9475
native,mippv2_skylake_panel_lmul,32,32,32,1,0,2.87233e-06,22.8163
native,mippv2_skylake_panel_lmul,64,64,64,1,0,2.7943e-05,18.7628
native,mippv2_skylake_panel_lmul,96,96,96,1,0,0.000104211,16.9798
native,mippv2_skylake_panel_lmul,128,128,128,1,0,0.000277108,15.136
native,mippv2_skylake_panel_lmul2,32,32,32,1,0,1.99864e-06,32.7903
native,mippv2_skylake_panel_lmul2,64,64,64,1,0,1.82819e-05,28.6779
native,mippv2_skylake_panel_lmul2,96,96,96,1,0,6.75083e-05,26.2112
native,mippv2_skylake_panel_lmul2,128,128,128,1,0,0.000170773,24.5607
native,mippv2_skylake_panel_lmul4,32,32,32,1,0,1.7819e-06,36.7787
native,mippv2_skylake_panel_lmul4,64,64,64,1,0,1.33496e-05,39.2737
native,mippv2_skylake_panel_lmul4,96,96,96,1,0,4.47258e-05,39.5627
native,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.000117744,35.6221
native,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,1.7798e-06,36.8221
native,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,1.48054e-05,35.4119
native,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,4.89645e-05,36.1379
native,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,0.000127987,32.7714
native,mippv2_a76_mr6_nr3,32,32,32,1,0,1.62649e-06,40.293
native,mippv2_a76_mr6_nr3,64,64,64,1,0,1.22225e-05,42.8954
native,mippv2_a76_mr6_nr3,96,96,96,1,0,3.86124e-05,45.8265
native,mippv2_a76_mr6_nr3,128,128,128,1,0,0.000104614,40.0932
native,mippv2_firestorm_mr4_nr4,32,32,32,1,0,1.44431e-06,45.3753
native,mippv2_firestorm_mr4_nr4,64,64,64,1,0,1.20295e-05,43.5836
native,mippv2_firestorm_mr4_nr4,96,96,96,1,0,3.85581e-05,45.8911
native,mippv2_firestorm_mr4_nr4,128,128,128,1,0,9.65697e-05,43.4329
native,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,1.44835e-06,45.2487
native,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,1.19845e-05,43.7471
native,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,3.87011e-05,45.7215
native,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,9.46224e-05,44.3267
native,mippv2_firestorm_mr6_nr4,32,32,32,1,0,1.48182e-06,44.2268
native,mippv2_firestorm_mr6_nr4,64,64,64,1,0,1.14941e-05,45.6138
native,mippv2_firestorm_mr6_nr4,96,96,96,1,0,3.72746e-05,47.4713
native,mippv2_firestorm_mr6_nr4,128,128,128,1,0,9.17352e-05,45.7219
native,mippv2_firestorm_mr6_nr4_fmaddi,32,32,32,1,0,1.48106e-06,44.2493
native,mippv2_firestorm_mr6_nr4_fmaddi,64,64,64,1,0,1.14961e-05,45.6056
native,mippv2_firestorm_mr6_nr4_fmaddi,96,96,96,1,0,3.72783e-05,47.4665
native,mippv2_firestorm_mr6_nr4_fmaddi,128,128,128,1,0,9.16052e-05,45.7867
native,mippv2_zen4_mr4_nr4,32,32,32,1,0,1.44292e-06,45.419
native,mippv2_zen4_mr4_nr4,64,64,64,1,0,1.19958e-05,43.7058
native,mippv2_zen4_mr4_nr4,96,96,96,1,0,3.85375e-05,45.9156
native,mippv2_zen4_mr4_nr4,128,128,128,1,0,0.000100905,41.5669
native,mippv2_zen4_mr4_nr4_fmaddi,32,32,32,1,0,1.44806e-06,45.2578
native,mippv2_zen4_mr4_nr4_fmaddi,64,64,64,1,0,1.20098e-05,43.6549
native,mippv2_zen4_mr4_nr4_fmaddi,96,96,96,1,0,3.85035e-05,45.9562
native,mippv2_zen4_mr4_nr4_fmaddi,128,128,128,1,0,9.65784e-05,43.429
native,mippv2_x100_register_blocked_lmul1,32,32,32,1,0,2.25615e-06,29.0477
native,mippv2_x100_register_blocked_lmul1,64,64,64,1,0,2.07628e-05,25.2513
native,mippv2_x100_register_blocked_lmul1,96,96,96,1,0,7.8842e-05,22.4433
native,mippv2_x100_register_blocked_lmul1,128,128,128,1,0,0.000204807,20.4793
native,mippv2_x100_register_blocked_lmul2,32,32,32,1,0,1.81274e-06,36.1529
native,mippv2_x100_register_blocked_lmul2,64,64,64,1,0,1.50449e-05,34.8483
native,mippv2_x100_register_blocked_lmul2,96,96,96,1,0,5.00428e-05,35.3591
