Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
native,ijk,32,32,32,1,0,2.47521e-05,2.64769
native,ijk,64,64,64,1,0,0.000196961,2.66189
native,ijk,96,96,96,1,0,0.00148541,1.19124
native,ijk,128,128,128,1,0,0.00352434,1.1901
native,blocked_register_blocked,32,32,32,1,0,8.70551e-06,7.52811
native,blocked_register_blocked,64,64,64,1,0,6.30803e-05,8.31144
native,blocked_register_blocked,96,96,96,1,0,0.000299522,5.90765
native,blocked_register_blocked,128,128,128,1,0,0.000705609,5.94423
native,mippv2_skylake_register_blocked,32,32,32,1,0,4.63148e-06,14.1501
native,mippv2_skylake_register_blocked,64,64,64,1,0,3.68272e-05,14.2364
native,mippv2_skylake_register_blocked,96,96,96,1,0,0.000157856,11.2094
native,mippv2_skylake_register_blocked,128,128,128,1,0,0.00037178,11.2817
native,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,8.49565e-06,7.71407
native,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,6.55737e-05,7.99541
native,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.000377984,4.68134
native,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.000896697,4.67751
native,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,6.28918e-06,10.4204
native,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,4.93322e-05,10.6277
native,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,0.000226469,7.81332
native,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.000544645,7.70099
native,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,4.98601e-06,13.144
native,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,3.89671e-05,13.4546
native,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,0.000179809,9.84087
native,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.000399544,10.4977
native,mippv2_skylake_panel,32,32,32,1,0,5.01678e-06,13.0634
native,mippv2_skylake_panel,64,64,64,1,0,3.82281e-05,13.7147
native,mippv2_skylake_panel,96,96,96,1,0,0.000208392,8.49109
native,mippv2_skylake_panel,128,128,128,1,0,0.000487804,8.59834
native,mippv2_skylake_panel_lmul,32,32,32,1,0,5.83511e-06,11.2313
native,mippv2_skylake_panel_lmul,64,64,64,1,0,4.5153e-05,11.6114
native,mippv2_skylake_panel_lmul,96,96,96,1,0,0.000342258,5.17
native,mippv2_skylake_panel_lmul,128,128,128,1,0,0.000808475,5.18792
native,mippv2_skylake_panel_lmul2,32,32,32,1,0,4.86873e-06,13.4606
native,mippv2_skylake_panel_lmul2,64,64,64,1,0,3.7625e-05,13.9346
native,mippv2_skylake_panel_lmul2,96,96,96,1,0,0.000206912,8.5518
native,mippv2_skylake_panel_lmul2,128,128,128,1,0,0.000494258,8.48607
native,mippv2_skylake_panel_lmul4,32,32,32,1,0,4.46194e-06,14.6878
native,mippv2_skylake_panel_lmul4,64,64,64,1,0,3.38033e-05,15.51
native,mippv2_skylake_panel_lmul4,96,96,96,1,0,0.000153412,11.5341
native,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.000343931,12.1952
native,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,4.45776e-06,14.7016
native,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,3.49874e-05,14.9851
native,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,0.000139086,12.7221
native,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,0.000331519,12.6518
native,mippv2_a76_mr6_nr3,32,32,32,1,0,5.52684e-06,11.8578
native,mippv2_a76_mr6_nr3,64,64,64,1,0,4.36891e-05,12.0004
native,mippv2_a76_mr6_nr3,96,96,96,1,0,0.000147971,11.9582
native,mippv2_a76_mr6_nr3,128,128,128,1,0,0.000352092,11.9125
native,mippv2_firestorm_mr4_nr4,32,32,32,1,0,4.30534e-06,15.222
native,mippv2_firestorm_mr4_nr4,64,64,64,1,0,3.3685e-05,15.5645
native,mippv2_firestorm_mr4_nr4,96,96,96,1,0,0.000133944,13.2105
native,mippv2_firestorm_mr4_nr4,128,128,128,1,0,0.000314777,13.3247
native,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,4.30932e-06,15.208
native,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,3.37078e-05,15.5539
native,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,0.000134548,13.1512
native,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,0.00031565,13.2878
native,mippv2_firestorm_mr6_nr4,32,32,32,1,0,5.4764e-06,11.967
native,mippv2_firestorm_mr6_nr4,64,64,64,1,0,4.29098e-05,12.2184
native,mippv2_firestorm_mr6_nr4,96,96,96,1,0,0.000143853,12.3005
native,mippv2_firestorm_mr6_nr4,128,128,128,1,0,0.000341805,12.271
native,mippv2_firestorm_mr6_nr4_fmaddi,32,32,32,1,0,5.47918e-06,11.9609
native,mippv2_firestorm_mr6_nr4_fmaddi,64,64,64,1,0,4.29149e-05,12.2169
native,mippv2_firestorm_mr6_nr4_fmaddi,96,96,96,1,0,0.000144008,12.2874
native,mippv2_firestorm_mr6_nr4_fmaddi,128,128,128,1,0,0.000341851,12.2694
native,mippv2_zen4_mr4_nr4,32,32,32,1,0,4.31279e-06,15.1957
native,mippv2_zen4_mr4_nr4,64,64,64,1,0,3.36842e-05,15.5648
native,mippv2_zen4_mr4_nr4,96,96,96,1,0,0.00013281,13.3234
native,mippv2_zen4_mr4_nr4,128,128,128,1,0,0.000306944,13.6647
native,mippv2_zen4_mr4_nr4_fmaddi,32,32,32,1,0,4.30815e-06,15.2121
native,mippv2_zen4_mr4_nr4_fmaddi,64,64,64,1,0,3.37028e-05,15.5562
native,mippv2_zen4_mr4_nr4_fmaddi,96,96,96,1,0,0.000133628,13.2418
native,mippv2_zen4_mr4_nr4_fmaddi,128,128,128,1,0,0.000314121,13.3525
native,mippv2_x100_register_blocked_lmul1,32,32,32,1,0,5.22539e-06,12.5418
native,mippv2_x100_register_blocked_lmul1,64,64,64,1,0,3.99167e-05,13.1346
native,mippv2_x100_register_blocked_lmul1,96,96,96,1,0,0.000142333,12.4319
native,mippv2_x100_register_blocked_lmul1,128,128,128,1,0,0.00035035,11.9717
native,mippv2_x100_register_blocked_lmul2,32,32,32,1,0,4.61474e-06,14.2014
native,mippv2_x100_register_blocked_lmul2,64,64,64,1,0,3.57602e-05,14.6612
native,mippv2_x100_register_blocked_lmul2,96,96,96,1,0,0.000127963,13.828
native,mippv2_x100_register_blocked_lmul2,128,128,128,1,0,0.000314337,13.3433
native,mippv2_x100_register_blocked_lmul4,32,32,32,1,0,6.84901e-06,9.56868
native,mippv2_x100_register_blocked_lmul4,64,64,64,1,0,5.47638e-05,9.57362
native,mippv2_x100_register_blocked_lmul4,96,96,96,1,0,0.000187305,9.44702
native,mippv2_x100_register_blocked_lmul4,128,128,128,1,0,0.000447889,9.3646
native,mippv2_x100_register_blocked_apack4,32,32,32,1,0,4.26303e-06,15.3731
native,mippv2_x100_register_blocked_apack4,64,64,64,1,0,3.34432e-05,15.677
native,mippv2_x100_register_blocked_apack4,96,96,96,1,0,0.000131129,13.4942
native,mippv2_x100_register_blocked_apack4,128,128,128,1,0,0.00034012,12.3318
native,mippv2_panel_x100_lmul1,32,32,32,1,0,5.12374e-06,12.7906
native,mippv2_panel_x100_lmul1,64,64,64,1,0,4.19189e-05,12.5072
native,mippv2_panel_x100_lmul1,96,96,96,1,0,0.000158424,11.1692
native,mippv2_panel_x100_lmul1,128,128,128,1,0,0.000392109,10.6968
native,mippv2_panel_x100_lmul2,32,32,32,1,0,4.6474e-06,14.1016
native,mippv2_panel_x100_lmul2,64,64,64,1,0,3.78603e-05,13.848
native,mippv2_panel_x100_lmul2,96,96,96,1,0,0.000142522,12.4154
native,mippv2_panel_x100_lmul2,128,128,128,1,0,0.000358984,11.6838
native,mippv2_panel_x100_lmul4,32,32,32,1,0,4.31139e-06,15.2007
native,mippv2_panel_x100_lmul4,64,64,64,1,0,3.53852e-05,14.8166
native,mippv2_panel_x100_lmul4,96,96,96,1,0,0.000134992,13.108
native,mippv2_panel_x100_lmul4,128,128,128,1,0,0.000337731,12.4191
native,mippv2_x60_mr6_nr4_fmaddi,32,32,32,1,0,5.48536e-06,11.9474
