Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
native,ijk,32,32,32,1,0,1.76518e-05,3.71272
native,ijk,64,64,64,1,0,0.000131059,4.00039
native,ijk,96,96,96,1,0,0.00148041,1.19526
native,ijk,128,128,128,1,0,0.00351747,1.19242
native,blocked_register_blocked,32,32,32,1,0,5.87119e-06,11.1623
native,blocked_register_blocked,64,64,64,1,0,4.47827e-05,11.7074
native,blocked_register_blocked,96,96,96,1,0,0.000205104,8.62718
native,blocked_register_blocked,128,128,128,1,0,0.000483396,8.67675
native,mippv2_skylake_register_blocked,32,32,32,1,0,4.43657e-06,14.7718
native,mippv2_skylake_register_blocked,64,64,64,1,0,3.45513e-05,15.1742
native,mippv2_skylake_register_blocked,96,96,96,1,0,0.000154755,11.4341
native,mippv2_skylake_register_blocked,128,128,128,1,0,0.000362769,11.5619
native,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,6.96944e-06,9.40334
native,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,5.39517e-05,9.71773
native,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.0003771,4.69232
native,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.000896342,4.67936
native,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,5.13179e-06,12.7706
native,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,3.85872e-05,13.5871
native,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,0.000217173,8.14776
native,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.000517381,8.1068
native,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,4.41175e-06,14.8549
native,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,3.34327e-05,15.6819
native,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,0.000161056,10.9867
native,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.000382042,10.9786
native,mippv2_skylake_panel,32,32,32,1,0,4.47133e-06,14.6569
native,mippv2_skylake_panel,64,64,64,1,0,3.49472e-05,15.0023
native,mippv2_skylake_panel,96,96,96,1,0,0.000204067,8.67103
native,mippv2_skylake_panel,128,128,128,1,0,0.000476936,8.79426
native,mippv2_skylake_panel_lmul,32,32,32,1,0,5.59578e-06,11.7117
native,mippv2_skylake_panel_lmul,64,64,64,1,0,4.61073e-05,11.371
native,mippv2_skylake_panel_lmul,96,96,96,1,0,0.000355838,4.97269
native,mippv2_skylake_panel_lmul,128,128,128,1,0,0.000830069,5.05296
native,mippv2_skylake_panel_lmul2,32,32,32,1,0,4.28945e-06,15.2784
native,mippv2_skylake_panel_lmul2,64,64,64,1,0,3.40569e-05,15.3945
native,mippv2_skylake_panel_lmul2,96,96,96,1,0,0.000200966,8.80483
native,mippv2_skylake_panel_lmul2,128,128,128,1,0,0.00047973,8.74305
native,mippv2_skylake_panel_lmul4,32,32,32,1,0,4.39404e-06,14.9147
native,mippv2_skylake_panel_lmul4,64,64,64,1,0,3.29727e-05,15.9007
native,mippv2_skylake_panel_lmul4,96,96,96,1,0,0.000159764,11.0755
native,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.000372711,11.2535
native,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,3.83726e-06,17.0789
