Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
rvv,ijk,32,32,32,1,0,0.000117401,0.558225
rvv,ijk,64,64,64,1,0,0.0011049,0.47451
rvv,ijk,96,96,96,1,0,0.00606529,0.291737
rvv,ijk,128,128,128,1,0,0.0121295,0.345793
rvv,blocked_register_blocked,32,32,32,1,0,3.53428e-05,1.8543
rvv,blocked_register_blocked,64,64,64,1,0,0.000348513,1.50436
rvv,blocked_register_blocked,96,96,96,1,0,0.00116026,1.52506
rvv,blocked_register_blocked,128,128,128,1,0,0.00270781,1.54896
rvv,mippv2_skylake_register_blocked,32,32,32,1,0,9.12338e-06,7.1833
rvv,mippv2_skylake_register_blocked,64,64,64,1,0,7.18633e-05,7.29563
rvv,mippv2_skylake_register_blocked,96,96,96,1,0,0.000311588,5.67888
rvv,mippv2_skylake_register_blocked,128,128,128,1,0,0.000734559,5.70996
rvv,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,2.04802e-05,3.19997
rvv,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,0.000162151,3.23333
rvv,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.000553551,3.19659
rvv,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.00130782,3.20709
rvv,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,1.3868e-05,4.7257
rvv,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,0.000108938,4.81271
rvv,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,0.000369216,4.79251
rvv,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.00087304,4.80425
rvv,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,2.21465e-05,2.95921
rvv,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,8.79301e-05,5.96255
rvv,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,0.000398735,4.43772
rvv,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.000711008,5.89909
rvv,mippv2_skylake_panel,32,32,32,1,0,1.02918e-05,6.36777
rvv,mippv2_skylake_panel,64,64,64,1,0,8.09248e-05,6.4787
rvv,mippv2_skylake_panel,96,96,96,1,0,0.000286609,6.17382
rvv,mippv2_skylake_panel,128,128,128,1,0,0.000667579,6.28285
rvv,mippv2_skylake_panel_lmul,32,32,32,1,0,1.2232e-05,5.35775
rvv,mippv2_skylake_panel_lmul,64,64,64,1,0,0.000100217,5.23153
rvv,mippv2_skylake_panel_lmul,96,96,96,1,0,0.000350885,5.04289
rvv,mippv2_skylake_panel_lmul,128,128,128,1,0,0.000832494,5.03824
rvv,mippv2_skylake_panel_lmul2,32,32,32,1,0,9.612e-06,6.81815
rvv,mippv2_skylake_panel_lmul2,64,64,64,1,0,7.69568e-05,6.81276
rvv,mippv2_skylake_panel_lmul2,96,96,96,1,0,0.000265729,6.65894
rvv,mippv2_skylake_panel_lmul2,128,128,128,1,0,0.000631175,6.64523
rvv,mippv2_skylake_panel_lmul4,32,32,32,1,0,1.81255e-05,3.61568
rvv,mippv2_skylake_panel_lmul4,64,64,64,1,0,7.19934e-05,7.28244
rvv,mippv2_skylake_panel_lmul4,96,96,96,1,0,0.000333952,5.29859
rvv,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.000594361,7.05683
rvv,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,9.21431e-06,7.11242
rvv,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,7.2289e-05,7.25267
rvv,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,0.000300797,5.88261
rvv,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,0.000712907,5.88338
rvv,mippv2_a76_mr6_nr3,32,32,32,1,0,9.79117e-06,6.69338
rvv,mippv2_a76_mr6_nr3,64,64,64,1,0,7.63118e-05,6.87034
rvv,mippv2_a76_mr6_nr3,96,96,96,1,0,0.000237378,7.45425
rvv,mippv2_a76_mr6_nr3,128,128,128,1,0,0.000570895,7.34689
rvv,mippv2_firestorm_mr4_nr4,32,32,32,1,0,9.21815e-06,7.10945
rvv,mippv2_firestorm_mr4_nr4,64,64,64,1,0,5.85547e-05,8.95382
rvv,mippv2_firestorm_mr4_nr4,96,96,96,1,0,0.000291274,6.07494
rvv,mippv2_firestorm_mr4_nr4,128,128,128,1,0,0.000665072,6.30654
rvv,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,7.79184e-06,8.41085
rvv,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,5.16231e-05,10.1561
rvv,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,0.000250015,7.07746
rvv,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,0.000587191,7.14299
rvv,mippv2_firestorm_mr6_nr4,32,32,32,1,0,9.32721e-06,7.02632
rvv,mippv2_firestorm_mr6_nr4,64,64,64,1,0,7.71725e-05,6.79372
rvv,mippv2_firestorm_mr6_nr4,96,96,96,1,0,0.000323649,5.46725
rvv,mippv2_firestorm_mr6_nr4,128,128,128,1,0,0.000819621,5.11737
rvv,mippv2_firestorm_mr6_nr4_fmaddi,32,32,32,1,0,7.42988e-06,8.8206
rvv,mippv2_firestorm_mr6_nr4_fmaddi,64,64,64,1,0,4.71749e-05,11.1137
rvv,mippv2_firestorm_mr6_nr4_fmaddi,96,96,96,1,0,0.000215848,8.19778
rvv,mippv2_firestorm_mr6_nr4_fmaddi,128,128,128,1,0,0.000515471,8.13683
rvv,mippv2_zen4_mr4_nr4,32,32,32,1,0,1.16161e-05,5.64182
rvv,mippv2_zen4_mr4_nr4,64,64,64,1,0,8.31426e-05,6.30589
rvv,mippv2_zen4_mr4_nr4,96,96,96,1,0,0.00029327,6.0336
rvv,mippv2_zen4_mr4_nr4,128,128,128,1,0,0.000664895,6.30822
rvv,mippv2_zen4_mr4_nr4_fmaddi,32,32,32,1,0,7.80127e-06,8.40068
rvv,mippv2_zen4_mr4_nr4_fmaddi,64,64,64,1,0,5.16653e-05,10.1478
rvv,mippv2_zen4_mr4_nr4_fmaddi,96,96,96,1,0,0.000249922,7.0801
rvv,mippv2_zen4_mr4_nr4_fmaddi,128,128,128,1,0,0.000586853,7.14712
rvv,mippv2_x100_register_blocked_lmul1,32,32,32,1,0,1.02854e-05,6.37173
rvv,mippv2_x100_register_blocked_lmul1,64,64,64,1,0,7.89801e-05,6.63823
rvv,mippv2_x100_register_blocked_lmul1,96,96,96,1,0,0.000257515,6.87134
rvv,mippv2_x100_register_blocked_lmul1,128,128,128,1,0,0.000615301,6.81667
rvv,mippv2_x100_register_blocked_lmul2,32,32,32,1,0,1.51036e-05,4.3391
rvv,mippv2_x100_register_blocked_lmul2,64,64,64,1,0,5.86276e-05,8.94268
rvv,mippv2_x100_register_blocked_lmul2,96,96,96,1,0,0.000257256,6.87825
rvv,mippv2_x100_register_blocked_lmul2,128,128,128,1,0,0.000461915,9.08025
rvv,mippv2_x100_register_blocked_lmul4,32,32,32,1,0,2.67771e-05,2.44747
rvv,mippv2_x100_register_blocked_lmul4,64,64,64,1,0,0.000104843,5.00072
rvv,mippv2_x100_register_blocked_lmul4,96,96,96,1,0,0.000232369,7.61494
rvv,mippv2_x100_register_blocked_lmul4,128,128,128,1,0,0.000415591,10.0924
rvv,mippv2_x100_register_blocked_apack4,32,32,32,1,0,1.49966e-05,4.37004
rvv,mippv2_x100_register_blocked_apack4,64,64,64,1,0,6.113e-05,8.5766
rvv,mippv2_x100_register_blocked_apack4,96,96,96,1,0,0.000257191,6.88
rvv,mippv2_x100_register_blocked_apack4,128,128,128,1,0,0.000458668,9.14453
rvv,mippv2_panel_x100_lmul1,32,32,32,1,0,1.01968e-05,6.42714
rvv,mippv2_panel_x100_lmul1,64,64,64,1,0,8.05048e-05,6.51251
