Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
rvv,ijk,32,32,32,1,0,0.000378845,0.172989
rvv,ijk,64,64,64,1,0,0.00283912,0.184666
rvv,ijk,96,96,96,1,0,0.00949896,0.186281
rvv,ijk,128,128,128,1,0,0.0221733,0.18916
rvv,blocked_register_blocked,32,32,32,1,0,5.98473e-05,1.09505
rvv,blocked_register_blocked,64,64,64,1,0,0.000455808,1.15024
rvv,blocked_register_blocked,96,96,96,1,0,0.00178359,0.992083
rvv,blocked_register_blocked,128,128,128,1,0,0.00357911,1.17188
rvv,mippv2_skylake_register_blocked,32,32,32,1,0,8.60618e-06,7.61499
rvv,mippv2_skylake_register_blocked,64,64,64,1,0,6.76357e-05,7.75164
rvv,mippv2_skylake_register_blocked,96,96,96,1,0,0.000264808,6.6821
rvv,mippv2_skylake_register_blocked,128,128,128,1,0,0.000631311,6.6438
rvv,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,1.36951e-05,4.78535
rvv,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,0.000107876,4.86009
rvv,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.000368936,4.79614
rvv,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.000868648,4.82854
rvv,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,1.16039e-05,5.64777
rvv,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,9.09304e-05,5.76581
rvv,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,0.000306149,5.77978
rvv,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.000732034,5.72966
rvv,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,2.85302e-05,2.29707
rvv,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,0.000109616,4.78293
rvv,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,0.000500343,3.53652
rvv,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.000870772,4.81676
rvv,mippv2_skylake_panel,32,32,32,1,0,1.1425e-05,5.7362
rvv,mippv2_skylake_panel,64,64,64,1,0,9.09815e-05,5.76258
rvv,mippv2_skylake_panel,96,96,96,1,0,0.000309978,5.70838
rvv,mippv2_skylake_panel,128,128,128,1,0,0.000737471,5.68742
rvv,mippv2_skylake_panel_lmul,32,32,32,1,0,1.0856e-05,6.03683
rvv,mippv2_skylake_panel_lmul,64,64,64,1,0,9.14203e-05,5.73492
rvv,mippv2_skylake_panel_lmul,96,96,96,1,0,0.000336973,5.25109
rvv,mippv2_skylake_panel_lmul,128,128,128,1,0,0.000792279,5.29397
rvv,mippv2_skylake_panel_lmul2,32,32,32,1,0,1.0208e-05,6.42009
rvv,mippv2_skylake_panel_lmul2,64,64,64,1,0,8.11189e-05,6.4632
rvv,mippv2_skylake_panel_lmul2,96,96,96,1,0,0.000282931,6.25407
rvv,mippv2_skylake_panel_lmul2,128,128,128,1,0,0.000671826,6.24314
rvv,mippv2_skylake_panel_lmul4,32,32,32,1,0,2.48577e-05,2.63645
rvv,mippv2_skylake_panel_lmul4,64,64,64,1,0,0.000101506,5.16511
rvv,mippv2_skylake_panel_lmul4,96,96,96,1,0,0.000484778,3.65007
rvv,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.000861286,4.86981
rvv,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,1.1208e-05,5.84723
rvv,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,8.80214e-05,5.95637
rvv,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,0.000339174,5.217
rvv,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,0.000817678,5.12953
rvv,mippv2_a76_mr6_nr3,32,32,32,1,0,1.25509e-05,5.22161
rvv,mippv2_a76_mr6_nr3,64,64,64,1,0,9.6303e-05,5.44415
rvv,mippv2_a76_mr6_nr3,96,96,96,1,0,0.000336845,5.25307
rvv,mippv2_a76_mr6_nr3,128,128,128,1,0,0.000790265,5.30746
rvv,mippv2_firestorm_mr4_nr4,32,32,32,1,0,1.12084e-05,5.84706
rvv,mippv2_firestorm_mr4_nr4,64,64,64,1,0,9.5933e-05,5.46515
rvv,mippv2_firestorm_mr4_nr4,96,96,96,1,0,0.000347677,5.08941
rvv,mippv2_firestorm_mr4_nr4,128,128,128,1,0,0.000788513,5.31926
rvv,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,8.46866e-06,7.73865
rvv,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,5.04494e-05,10.3924
rvv,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,0.00025512,6.93584
rvv,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,0.000586383,7.15284
rvv,mippv2_firestorm_mr6_nr4,32,32,32,1,0,1.00405e-05,6.52719
rvv,mippv2_firestorm_mr6_nr4,64,64,64,1,0,0.000131736,3.97982
rvv,mippv2_firestorm_mr6_nr4,96,96,96,1,0,0.000455705,3.88293
rvv,mippv2_firestorm_mr6_nr4,128,128,128,1,0,0.00111459,3.76309
rvv,mippv2_firestorm_mr6_nr4_fmaddi,32,32,32,1,0,7.21532e-06,9.0829
rvv,mippv2_firestorm_mr6_nr4_fmaddi,64,64,64,1,0,4.72253e-05,11.1018
rvv,mippv2_firestorm_mr6_nr4_fmaddi,96,96,96,1,0,0.000205688,8.60269
rvv,mippv2_firestorm_mr6_nr4_fmaddi,128,128,128,1,0,0.000498113,8.42039
rvv,mippv2_zen4_mr4_nr4,32,32,32,1,0,1.38087e-05,4.74601
rvv,mippv2_zen4_mr4_nr4,64,64,64,1,0,9.73516e-05,5.38551
rvv,mippv2_zen4_mr4_nr4,96,96,96,1,0,0.000347399,5.09349
rvv,mippv2_zen4_mr4_nr4,128,128,128,1,0,0.000789381,5.31341
rvv,mippv2_zen4_mr4_nr4_fmaddi,32,32,32,1,0,8.47229e-06,7.73534
rvv,mippv2_zen4_mr4_nr4_fmaddi,64,64,64,1,0,5.04295e-05,10.3965
rvv,mippv2_zen4_mr4_nr4_fmaddi,96,96,96,1,0,0.000255173,6.9344
rvv,mippv2_zen4_mr4_nr4_fmaddi,128,128,128,1,0,0.00058676,7.14825
rvv,mippv2_x100_register_blocked_lmul1,32,32,32,1,0,7.8724e-06,8.32478
rvv,mippv2_x100_register_blocked_lmul1,64,64,64,1,0,6.34266e-05,8.26606
rvv,mippv2_x100_register_blocked_lmul1,96,96,96,1,0,0.000206192,8.58168
rvv,mippv2_x100_register_blocked_lmul1,128,128,128,1,0,0.000490593,8.54946
rvv,mippv2_x100_register_blocked_lmul2,32,32,32,1,0,1.37728e-05,4.75837
rvv,mippv2_x100_register_blocked_lmul2,64,64,64,1,0,5.52159e-05,9.49524
rvv,mippv2_x100_register_blocked_lmul2,96,96,96,1,0,0.000245515,7.2072
rvv,mippv2_x100_register_blocked_lmul2,128,128,128,1,0,0.000437295,9.59147
rvv,mippv2_x100_register_blocked_lmul4,32,32,32,1,0,3.23702e-05,2.02458
rvv,mippv2_x100_register_blocked_lmul4,64,64,64,1,0,0.000119424,4.39015
rvv,mippv2_x100_register_blocked_lmul4,96,96,96,1,0,0.000276786,6.39293
rvv,mippv2_x100_register_blocked_lmul4,128,128,128,1,0,0.000486786,8.61633
rvv,mippv2_x100_register_blocked_apack4,32,32,32,1,0,1.43681e-05,4.56121
rvv,mippv2_x100_register_blocked_apack4,64,64,64,1,0,5.85251e-05,8.95834
rvv,mippv2_x100_register_blocked_apack4,96,96,96,1,0,0.000262588,6.73859
rvv,mippv2_x100_register_blocked_apack4,128,128,128,1,0,0.000465979,9.00106
rvv,mippv2_panel_x100_lmul1,32,32,32,1,0,8.6308e-06,7.59327
rvv,mippv2_panel_x100_lmul1,64,64,64,1,0,6.94809e-05,7.54579
rvv,mippv2_panel_x100_lmul1,96,96,96,1,0,0.000225598,7.84347
rvv,mippv2_panel_x100_lmul1,128,128,128,1,0,0.000540529,7.75962
rvv,mippv2_panel_x100_lmul2,32,32,32,1,0,1.45063e-05,4.51775
rvv,mippv2_panel_x100_lmul2,64,64,64,1,0,5.84833e-05,8.96474
rvv,mippv2_panel_x100_lmul2,96,96,96,1,0,0.000257049,6.88378
rvv,mippv2_panel_x100_lmul2,128,128,128,1,0,0.000480824,8.72316
rvv,mippv2_panel_x100_lmul4,32,32,32,1,0,3.94438e-05,1.6615
rvv,mippv2_panel_x100_lmul4,64,64,64,1,0,0.0001505,3.48364
rvv,mippv2_panel_x100_lmul4,96,96,96,1,0,0.00035356,5.00473
rvv,mippv2_panel_x100_lmul4,128,128,128,1,0,0.000712849,5.88386
rvv,mippv2_x60_mr6_nr4_fmaddi,32,32,32,1,0,6.44691e-06,10.1655
rvv,mippv2_x60_mr6_nr4_fmaddi,64,64,64,1,0,4.72206e-05,11.1029
rvv,mippv2_x60_mr6_nr4_fmaddi,96,96,96,1,0,0.00020789,8.51156
rvv,mippv2_x60_mr6_nr4_fmaddi,128,128,128,1,0,0.000497209,8.4357
rvv,mippv2_a100_mr7_nr4_pipe,32,32,32,1,0,6.33963e-06,10.3375
rvv,mippv2_a100_mr7_nr4_pipe,64,64,64,1,0,4.52483e-05,11.5869
rvv,mippv2_a100_mr7_nr4_pipe,96,96,96,1,0,0.000206786,8.55702
rvv,mippv2_a100_mr7_nr4_pipe,128,128,128,1,0,0.000492184,8.52183
rvv,mippv2_a100_mr7_nr2_lmul2_pipe,32,32,32,1,0,6.56333e-06,9.98517
rvv,mippv2_a100_mr7_nr2_lmul2_pipe,64,64,64,1,0,4.49621e-05,11.6607
rvv,mippv2_a100_mr7_nr2_lmul2_pipe,96,96,96,1,0,0.000171677,10.307
rvv,mippv2_a100_mr7_nr2_lmul2_pipe,128,128,128,1,0,0.000400581,10.4705
