Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
rvv,ijk,32,32,32,1,0,4.04826e-05,1.61887
rvv,ijk,64,64,64,1,0,0.000339868,1.54262
rvv,ijk,96,96,96,1,0,0.0057635,0.307014
rvv,ijk,128,128,128,1,0,0.013555,0.30943
rvv,blocked_register_blocked,32,32,32,1,0,1.22486e-05,5.35048
rvv,blocked_register_blocked,64,64,64,1,0,9.44852e-05,5.54889
rvv,blocked_register_blocked,96,96,96,1,0,0.000794499,2.22716
rvv,blocked_register_blocked,128,128,128,1,0,0.00189289,2.21582
rvv,mippv2_skylake_register_blocked,32,32,32,1,0,7.74999e-06,8.45627
rvv,mippv2_skylake_register_blocked,64,64,64,1,0,6.13677e-05,8.54338
rvv,mippv2_skylake_register_blocked,96,96,96,1,0,0.000285134,6.20575
rvv,mippv2_skylake_register_blocked,128,128,128,1,0,0.00065552,6.39844
rvv,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,1.34765e-05,4.86297
rvv,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,0.000105914,4.95011
rvv,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.000779057,2.2713
rvv,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.00182767,2.29489
rvv,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,9.48257e-06,6.9112
rvv,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,7.57023e-05,6.92565
rvv,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,0.000477928,3.70238
rvv,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.00120807,3.4719
rvv,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,8.63069e-06,7.59337
rvv,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,6.84756e-05,7.65657
rvv,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,0.000363697,4.86524
rvv,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.00097692,4.2934
rvv,mippv2_skylake_panel,32,32,32,1,0,8.03642e-06,8.15487
rvv,mippv2_skylake_panel,64,64,64,1,0,6.4073e-05,8.18266
rvv,mippv2_skylake_panel,96,96,96,1,0,0.000405509,4.36358
rvv,mippv2_skylake_panel,128,128,128,1,0,0.000984526,4.26023
rvv,mippv2_skylake_panel_lmul,32,32,32,1,0,1.34957e-05,4.85605
rvv,mippv2_skylake_panel_lmul,64,64,64,1,0,0.000106081,4.94233
rvv,mippv2_skylake_panel_lmul,96,96,96,1,0,0.000573949,3.08298
rvv,mippv2_skylake_panel_lmul,128,128,128,1,0,0.00132019,3.17705
rvv,mippv2_skylake_panel_lmul2,32,32,32,1,0,1.06195e-05,6.17127
rvv,mippv2_skylake_panel_lmul2,64,64,64,1,0,8.36914e-05,6.26454
rvv,mippv2_skylake_panel_lmul2,96,96,96,1,0,0.000391266,4.52243
rvv,mippv2_skylake_panel_lmul2,128,128,128,1,0,0.000916652,4.57568
rvv,mippv2_skylake_panel_lmul4,32,32,32,1,0,9.98737e-06,6.56189
rvv,mippv2_skylake_panel_lmul4,64,64,64,1,0,7.83805e-05,6.68901
rvv,mippv2_skylake_panel_lmul4,96,96,96,1,0,0.000511454,3.45969
rvv,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.00065767,6.37752
rvv,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,7.60287e-06,8.6199
rvv,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,5.95538e-05,8.80361
rvv,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,0.000225663,7.84123
rvv,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,0.000531164,7.89644
rvv,mippv2_a76_mr6_nr3,32,32,32,1,0,7.08046e-06,9.2559
rvv,mippv2_a76_mr6_nr3,64,64,64,1,0,5.57131e-05,9.41049
rvv,mippv2_a76_mr6_nr3,96,96,96,1,0,0.000198232,8.92627
rvv,mippv2_a76_mr6_nr3,128,128,128,1,0,0.000469401,8.93544
rvv,mippv2_firestorm_mr4_nr4,32,32,32,1,0,6.87642e-06,9.53055
rvv,mippv2_firestorm_mr4_nr4,64,64,64,1,0,5.24677e-05,9.99258
rvv,mippv2_firestorm_mr4_nr4,96,96,96,1,0,0.000207796,8.51542
rvv,mippv2_firestorm_mr4_nr4,128,128,128,1,0,0.00051008,8.22284
rvv,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,4.94633e-06,13.2494
rvv,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,3.85011e-05,13.6175
rvv,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,0.000174081,10.1647
rvv,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,0.000396057,10.5902
rvv,mippv2_firestorm_mr6_nr4,32,32,32,1,0,1.0409e-05,6.29608
rvv,mippv2_firestorm_mr6_nr4,64,64,64,1,0,8.19916e-05,6.39441
rvv,mippv2_firestorm_mr6_nr4,96,96,96,1,0,0.000351493,5.03417
rvv,mippv2_firestorm_mr6_nr4,128,128,128,1,0,0.00077284,5.42713
rvv,mippv2_firestorm_mr6_nr4_fmaddi,32,32,32,1,0,4.57451e-06,14.3264
