Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
rvv,ijk,32,32,32,1,0,9.73707e-05,0.673057
rvv,ijk,64,64,64,1,0,0.00096281,0.544539
rvv,ijk,96,96,96,1,0,0.00940105,0.188221
rvv,ijk,128,128,128,1,0,0.0215156,0.194943
rvv,blocked_register_blocked,32,32,32,1,0,4.60179e-05,1.42414
rvv,blocked_register_blocked,64,64,64,1,0,0.000513051,1.0219
rvv,blocked_register_blocked,96,96,96,1,0,0.00200833,0.881066
rvv,blocked_register_blocked,128,128,128,1,0,0.00429645,0.976226
rvv,mippv2_skylake_register_blocked,32,32,32,1,0,2.19786e-05,2.98182
rvv,mippv2_skylake_register_blocked,64,64,64,1,0,0.000217638,2.40899
rvv,mippv2_skylake_register_blocked,96,96,96,1,0,0.00075721,2.33683
rvv,mippv2_skylake_register_blocked,128,128,128,1,0,0.00191264,2.19294
rvv,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,3.36331e-05,1.94856
rvv,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,0.000348862,1.50285
rvv,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.00162906,1.08619
rvv,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.00343853,1.2198
rvv,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,2.12264e-05,3.08748
rvv,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,0.000218434,2.40022
rvv,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,0.000985622,1.79528
rvv,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.00220575,1.90154
rvv,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,2.42808e-05,2.69908
rvv,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,0.000258368,2.02923
rvv,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,0.000950757,1.86112
rvv,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.0021295,1.96962
rvv,mippv2_skylake_panel,32,32,32,1,0,2.76442e-05,2.3707
rvv,mippv2_skylake_panel,64,64,64,1,0,0.000241029,2.1752
rvv,mippv2_skylake_panel,96,96,96,1,0,0.000986691,1.79334
rvv,mippv2_skylake_panel,128,128,128,1,0,0.00230029,1.82338
rvv,mippv2_skylake_panel_lmul,32,32,32,1,0,2.52304e-05,2.5975
rvv,mippv2_skylake_panel_lmul,64,64,64,1,0,0.000261371,2.00592
rvv,mippv2_skylake_panel_lmul,96,96,96,1,0,0.00128479,1.37725
rvv,mippv2_skylake_panel_lmul,128,128,128,1,0,0.00286056,1.46625
rvv,mippv2_skylake_panel_lmul2,32,32,32,1,0,1.99229e-05,3.28949
rvv,mippv2_skylake_panel_lmul2,64,64,64,1,0,0.000180946,2.89748
rvv,mippv2_skylake_panel_lmul2,96,96,96,1,0,0.00073215,2.41682
rvv,mippv2_skylake_panel_lmul2,128,128,128,1,0,0.00162581,2.57982
rvv,mippv2_skylake_panel_lmul4,32,32,32,1,0,2.28869e-05,2.86347
rvv,mippv2_skylake_panel_lmul4,64,64,64,1,0,0.000230542,2.27416
rvv,mippv2_skylake_panel_lmul4,96,96,96,1,0,0.000768663,2.30201
rvv,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.00182221,2.30177
rvv,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,3.06724e-05,2.13664
rvv,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,0.000285931,1.83362
rvv,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,0.000973918,1.81686
rvv,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,0.00221215,1.89603
rvv,mippv2_a76_mr6_nr3,32,32,32,1,0,2.79074e-05,2.34834
rvv,mippv2_a76_mr6_nr3,64,64,64,1,0,0.000273418,1.91753
rvv,mippv2_a76_mr6_nr3,96,96,96,1,0,0.000889236,1.98988
rvv,mippv2_a76_mr6_nr3,128,128,128,1,0,0.00201429,2.08227
rvv,mippv2_firestorm_mr4_nr4,32,32,32,1,0,3.02144e-05,2.16903
rvv,mippv2_firestorm_mr4_nr4,64,64,64,1,0,0.000285948,1.83351
rvv,mippv2_firestorm_mr4_nr4,96,96,96,1,0,0.000915141,1.93355
rvv,mippv2_firestorm_mr4_nr4,128,128,128,1,0,0.00208282,2.01376
rvv,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,1.12792e-05,5.81034
rvv,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,0.000137862,3.80298
rvv,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,0.000456566,3.87561
rvv,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,0.0010131,4.14008
rvv,mippv2_firestorm_mr6_nr4,32,32,32,1,0,3.90622e-05,1.67774
rvv,mippv2_firestorm_mr6_nr4,64,64,64,1,0,0.000339361,1.54493
rvv,mippv2_firestorm_mr6_nr4,96,96,96,1,0,0.00113898,1.55355
rvv,mippv2_firestorm_mr6_nr4,128,128,128,1,0,0.00284006,1.47684
rvv,mippv2_firestorm_mr6_nr4_fmaddi,32,32,32,1,0,1.07314e-05,6.10694
rvv,mippv2_firestorm_mr6_nr4_fmaddi,64,64,64,1,0,0.000117043,4.47944
rvv,mippv2_firestorm_mr6_nr4_fmaddi,96,96,96,1,0,0.000381123,4.64278
rvv,mippv2_firestorm_mr6_nr4_fmaddi,128,128,128,1,0,0.000953616,4.39831
rvv,mippv2_zen4_mr4_nr4,32,32,32,1,0,3.00781e-05,2.17886
rvv,mippv2_zen4_mr4_nr4,64,64,64,1,0,0.000285878,1.83396
rvv,mippv2_zen4_mr4_nr4,96,96,96,1,0,0.000913713,1.93657
rvv,mippv2_zen4_mr4_nr4,128,128,128,1,0,0.00208372,2.0129
rvv,mippv2_zen4_mr4_nr4_fmaddi,32,32,32,1,0,1.14634e-05,5.717
rvv,mippv2_zen4_mr4_nr4_fmaddi,64,64,64,1,0,0.000140295,3.73704
rvv,mippv2_zen4_mr4_nr4_fmaddi,96,96,96,1,0,0.000458722,3.8574
rvv,mippv2_zen4_mr4_nr4_fmaddi,128,128,128,1,0,0.00101638,4.12669
rvv,mippv2_x100_register_blocked_lmul1,32,32,32,1,0,1.43293e-05,4.57356
rvv,mippv2_x100_register_blocked_lmul1,64,64,64,1,0,0.000212745,2.4644
rvv,mippv2_x100_register_blocked_lmul1,96,96,96,1,0,0.000708173,2.49864
rvv,mippv2_x100_register_blocked_lmul1,128,128,128,1,0,0.00166061,2.52576
rvv,mippv2_x100_register_blocked_lmul2,32,32,32,1,0,1.15133e-05,5.69218
rvv,mippv2_x100_register_blocked_lmul2,64,64,64,1,0,0.00018181,2.88371
rvv,mippv2_x100_register_blocked_lmul2,96,96,96,1,0,0.000626322,2.82518
rvv,mippv2_x100_register_blocked_lmul2,128,128,128,1,0,0.00151864,2.76187
rvv,mippv2_x100_register_blocked_lmul4,32,32,32,1,0,1.97023e-05,3.32632
rvv,mippv2_x100_register_blocked_lmul4,64,64,64,1,0,0.000259561,2.0199
rvv,mippv2_x100_register_blocked_lmul4,96,96,96,1,0,0.00116802,1.51493
rvv,mippv2_x100_register_blocked_lmul4,128,128,128,1,0,0.00312095,1.34392
rvv,mippv2_x100_register_blocked_apack4,32,32,32,1,0,1.17537e-05,5.57578
rvv,mippv2_x100_register_blocked_apack4,64,64,64,1,0,0.000184664,2.83914
rvv,mippv2_x100_register_blocked_apack4,96,96,96,1,0,0.000530675,3.33438
rvv,mippv2_x100_register_blocked_apack4,128,128,128,1,0,0.00121192,3.46089
rvv,mippv2_panel_x100_lmul1,32,32,32,1,0,1.43568e-05,4.5648
rvv,mippv2_panel_x100_lmul1,64,64,64,1,0,0.000258973,2.02449
