Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
native,ijk,32,32,32,1,0,3.66777e-05,1.78681
native,ijk,64,64,64,1,0,0.000379884,1.38013
native,ijk,96,96,96,1,0,0.00130699,1.35385
native,ijk,128,128,128,1,0,0.00361633,1.15982
native,blocked_register_blocked,32,32,32,1,0,1.04165e-05,6.29157
native,blocked_register_blocked,64,64,64,1,0,8.06092e-05,6.50407
native,blocked_register_blocked,96,96,96,1,0,0.000235882,7.50152
native,blocked_register_blocked,128,128,128,1,0,0.000685121,6.12199
native,mippv2_skylake_register_blocked,32,32,32,1,0,1.99584e-06,32.8363
native,mippv2_skylake_register_blocked,64,64,64,1,0,1.74585e-05,30.0306
native,mippv2_skylake_register_blocked,96,96,96,1,0,6.04147e-05,29.2888
native,mippv2_skylake_register_blocked,128,128,128,1,0,0.000184077,22.7855
native,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,4.90718e-06,13.3551
native,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,4.48089e-05,11.7005
native,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.000194206,9.11132
native,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.000447909,9.36418
native,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,3.07787e-06,21.2926
native,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,2.72589e-05,19.2336
native,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,0.000127965,13.8278
native,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.000272809,15.3745
native,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,1.99322e-06,32.8794
native,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,1.77462e-05,29.5437
native,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,6.91992e-05,25.5707
native,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.00020602,20.3588
native,mippv2_skylake_panel,32,32,32,1,0,2.34734e-06,27.9193
native,mippv2_skylake_panel,64,64,64,1,0,2.26876e-05,23.109
native,mippv2_skylake_panel,96,96,96,1,0,0.000125076,14.1471
native,mippv2_skylake_panel,128,128,128,1,0,0.000272982,15.3647
native,mippv2_skylake_panel_lmul,32,32,32,1,0,3.59457e-06,18.2319
native,mippv2_skylake_panel_lmul,64,64,64,1,0,3.34082e-05,15.6934
native,mippv2_skylake_panel_lmul,96,96,96,1,0,0.000162165,10.9116
native,mippv2_skylake_panel_lmul,128,128,128,1,0,0.000448293,9.35616
native,mippv2_skylake_panel_lmul2,32,32,32,1,0,2.3532e-06,27.8497
native,mippv2_skylake_panel_lmul2,64,64,64,1,0,2.63223e-05,19.918
native,mippv2_skylake_panel_lmul2,96,96,96,1,0,9.77031e-05,18.1107
native,mippv2_skylake_panel_lmul2,128,128,128,1,0,0.000237233,17.6801
native,mippv2_skylake_panel_lmul4,32,32,32,1,0,3.64967e-06,17.9567
native,mippv2_skylake_panel_lmul4,64,64,64,1,0,3.00646e-05,17.4387
native,mippv2_skylake_panel_lmul4,96,96,96,1,0,0.000116894,15.1374
native,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.000344938,12.1596
native,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,1.96092e-06,33.421
native,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,1.62845e-05,32.1954
native,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,5.65891e-05,31.2688
native,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,0.000204873,20.4727
native,mippv2_a76_mr6_nr3,32,32,32,1,0,3.31665e-06,19.7597
native,mippv2_a76_mr6_nr3,64,64,64,1,0,2.72097e-05,19.2684
native,mippv2_a76_mr6_nr3,96,96,96,1,0,0.000128489,13.7714
native,mippv2_a76_mr6_nr3,128,128,128,1,0,0.000257558,16.2849
native,mippv2_firestorm_mr4_nr4,32,32,32,1,0,3.84753e-06,17.0332
native,mippv2_firestorm_mr4_nr4,64,64,64,1,0,3.19831e-05,16.3927
native,mippv2_firestorm_mr4_nr4,96,96,96,1,0,0.000104269,16.9703
native,mippv2_firestorm_mr4_nr4,128,128,128,1,0,0.000335968,12.4842
native,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,7.01593e-06,9.34102
native,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,3.17078e-05,16.535
native,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,0.00010126,17.4745
native,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,0.000277882,15.0939
native,mippv2_firestorm_mr6_nr4,32,32,32,1,0,4.11181e-06,15.9385
native,mippv2_firestorm_mr6_nr4,64,64,64,1,0,2.93522e-05,17.8619
native,mippv2_firestorm_mr6_nr4,96,96,96,1,0,0.000165174,10.7128
native,mippv2_firestorm_mr6_nr4,128,128,128,1,0,0.000950084,4.41467
native,mippv2_firestorm_mr6_nr4_fmaddi,32,32,32,1,0,7.52075e-06,8.71402
native,mippv2_firestorm_mr6_nr4_fmaddi,64,64,64,1,0,3.70777e-05,14.1403
native,mippv2_firestorm_mr6_nr4_fmaddi,96,96,96,1,0,0.000120653,14.6658
native,mippv2_firestorm_mr6_nr4_fmaddi,128,128,128,1,0,0.000399447,10.5003
native,mippv2_zen4_mr4_nr4,32,32,32,1,0,4.37919e-06,14.9653
native,mippv2_zen4_mr4_nr4,64,64,64,1,0,2.9624e-05,17.6981
native,mippv2_zen4_mr4_nr4,96,96,96,1,0,0.000100615,17.5866
native,mippv2_zen4_mr4_nr4,128,128,128,1,0,0.000299126,14.0219
native,mippv2_zen4_mr4_nr4_fmaddi,32,32,32,1,0,4.86022e-06,13.4842
native,mippv2_zen4_mr4_nr4_fmaddi,64,64,64,1,0,3.21788e-05,16.293
native,mippv2_zen4_mr4_nr4_fmaddi,96,96,96,1,0,0.000126778,13.9572
native,mippv2_zen4_mr4_nr4_fmaddi,128,128,128,1,0,0.000239312,17.5265
native,mippv2_x100_register_blocked_lmul1,32,32,32,1,0,2.56079e-06,25.5921
native,mippv2_x100_register_blocked_lmul1,64,64,64,1,0,2.01728e-05,25.9899
native,mippv2_x100_register_blocked_lmul1,96,96,96,1,0,6.75406e-05,26.1986
native,mippv2_x100_register_blocked_lmul1,128,128,128,1,0,0.000207851,20.1794
native,mippv2_x100_register_blocked_lmul2,32,32,32,1,0,2.82547e-06,23.1947
native,mippv2_x100_register_blocked_lmul2,64,64,64,1,0,2.40748e-05,21.7774
native,mippv2_x100_register_blocked_lmul2,96,96,96,1,0,8.13183e-05,21.7598
native,mippv2_x100_register_blocked_lmul2,128,128,128,1,0,0.000198477,21.1324
native,mippv2_x100_register_blocked_lmul4,32,32,32,1,0,5.97195e-06,10.974
native,mippv2_x100_register_blocked_lmul4,64,64,64,1,0,3.72033e-05,14.0925
native,mippv2_x100_register_blocked_lmul4,96,96,96,1,0,0.000130992,13.5082
native,mippv2_x100_register_blocked_lmul4,128,128,128,1,0,0.000382908,10.9538
native,mippv2_x100_register_blocked_apack4,32,32,32,1,0,2.92747e-06,22.3866
native,mippv2_x100_register_blocked_apack4,64,64,64,1,0,2.26365e-05,23.1612
native,mippv2_x100_register_blocked_apack4,96,96,96,1,0,9.8134e-05,18.0312
native,mippv2_x100_register_blocked_apack4,128,128,128,1,0,0.00021153,19.8285
native,mippv2_panel_x100_lmul1,32,32,32,1,0,2.4602e-06,26.6384
native,mippv2_panel_x100_lmul1,64,64,64,1,0,2.11688e-05,24.7671
native,mippv2_panel_x100_lmul1,96,96,96,1,0,7.07915e-05,24.9955
native,mippv2_panel_x100_lmul1,128,128,128,1,0,0.000184019,22.7928
native,mippv2_panel_x100_lmul2,32,32,32,1,0,3.57557e-06,18.3288
native,mippv2_panel_x100_lmul2,64,64,64,1,0,3.02318e-05,17.3423
native,mippv2_panel_x100_lmul2,96,96,96,1,0,0.000105831,16.7198
native,mippv2_panel_x100_lmul2,128,128,128,1,0,0.000238309,17.6003
native,mippv2_panel_x100_lmul4,32,32,32,1,0,4.9506e-06,13.238
native,mippv2_panel_x100_lmul4,64,64,64,1,0,4.12686e-05,12.7043
native,mippv2_panel_x100_lmul4,96,96,96,1,0,0.000144378,12.2558
native,mippv2_panel_x100_lmul4,128,128,128,1,0,0.000417954,10.0353
native,mippv2_x60_mr6_nr4_fmaddi,32,32,32,1,0,3.7454e-06,17.4977
native,mippv2_x60_mr6_nr4_fmaddi,64,64,64,1,0,2.94284e-05,17.8157
native,mippv2_x60_mr6_nr4_fmaddi,96,96,96,1,0,0.000123881,14.2837
native,mippv2_x60_mr6_nr4_fmaddi,128,128,128,1,0,0.0003045,13.7744
native,mippv2_a100_mr7_nr4_pipe,32,32,32,1,0,4.22942e-06,15.4953
native,mippv2_a100_mr7_nr4_pipe,64,64,64,1,0,3.45053e-05,15.1944
native,mippv2_a100_mr7_nr4_pipe,96,96,96,1,0,0.000195504,9.0508
native,mippv2_a100_mr7_nr4_pipe,128,128,128,1,0,0.000308994,13.574
native,mippv2_a100_mr7_nr2_lmul2_pipe,32,32,32,1,0,4.70827e-06,13.9193
native,mippv2_a100_mr7_nr2_lmul2_pipe,64,64,64,1,0,3.7628e-05,13.9335
native,mippv2_a100_mr7_nr2_lmul2_pipe,96,96,96,1,0,0.000131822,13.4231
native,mippv2_a100_mr7_nr2_lmul2_pipe,128,128,128,1,0,0.000467917,8.96378
