Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
native,ijk,32,32,32,1,0,2.08301e-05,3.14621
native,ijk,64,64,64,1,0,0.000128329,4.08551
native,ijk,96,96,96,1,0,0.00103802,1.70466
native,ijk,128,128,128,1,0,0.0027709,1.5137
native,blocked_register_blocked,32,32,32,1,0,5.08096e-06,12.8983
native,blocked_register_blocked,64,64,64,1,0,3.97804e-05,13.1796
native,blocked_register_blocked,96,96,96,1,0,0.00019109,9.25991
native,blocked_register_blocked,128,128,128,1,0,0.000541014,7.75267
native,mippv2_skylake_register_blocked,32,32,32,1,0,2.2583e-06,29.02
native,mippv2_skylake_register_blocked,64,64,64,1,0,1.87324e-05,27.9883
native,mippv2_skylake_register_blocked,96,96,96,1,0,0.000120655,14.6656
native,mippv2_skylake_register_blocked,128,128,128,1,0,0.000151704,27.648
native,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,4.90893e-06,13.3504
native,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,4.40458e-05,11.9032
native,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.000209727,8.43703
native,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.000471339,8.8987
native,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,3.17987e-06,20.6097
native,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,2.86355e-05,18.309
native,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,0.0001292,13.6957
native,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.000283639,14.7875
native,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,2.20195e-06,29.7627
native,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,1.79625e-05,29.1879
native,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,0.000102755,17.2204
native,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.000196184,21.3795
native,mippv2_skylake_panel,32,32,32,1,0,2.41733e-06,27.1109
native,mippv2_skylake_panel,64,64,64,1,0,2.30627e-05,22.7332
native,mippv2_skylake_panel,96,96,96,1,0,0.000126662,13.97
native,mippv2_skylake_panel,128,128,128,1,0,0.000279308,15.0168
native,mippv2_skylake_panel_lmul,32,32,32,1,0,3.43684e-06,19.0687
native,mippv2_skylake_panel_lmul,64,64,64,1,0,5.04165e-05,10.3991
native,mippv2_skylake_panel_lmul,96,96,96,1,0,0.000167993,10.533
native,mippv2_skylake_panel_lmul,128,128,128,1,0,0.000390294,10.7465
native,mippv2_skylake_panel_lmul2,32,32,32,1,0,6.12503e-06,10.6997
native,mippv2_skylake_panel_lmul2,64,64,64,1,0,2.72523e-05,19.2383
native,mippv2_skylake_panel_lmul2,96,96,96,1,0,0.000103754,17.0544
native,mippv2_skylake_panel_lmul2,128,128,128,1,0,0.000254825,16.4595
native,mippv2_skylake_panel_lmul4,32,32,32,1,0,4.66622e-06,14.0448
native,mippv2_skylake_panel_lmul4,64,64,64,1,0,4.0747e-05,12.8669
native,mippv2_skylake_panel_lmul4,96,96,96,1,0,9.67236e-05,18.2941
native,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.00028539,14.6968
native,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,3.02994e-06,21.6295
native,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,4.0041e-05,13.0938
native,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,5.4399e-05,32.5276
native,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,0.000134305,31.2297
native,mippv2_a76_mr6_nr3,32,32,32,1,0,2.78939e-06,23.4948
native,mippv2_a76_mr6_nr3,64,64,64,1,0,2.64369e-05,19.8317
native,mippv2_a76_mr6_nr3,96,96,96,1,0,0.000116517,15.1864
native,mippv2_a76_mr6_nr3,128,128,128,1,0,0.000219071,19.1459
native,mippv2_firestorm_mr4_nr4,32,32,32,1,0,2.69305e-06,24.3352
native,mippv2_firestorm_mr4_nr4,64,64,64,1,0,2.20352e-05,23.7932
native,mippv2_firestorm_mr4_nr4,96,96,96,1,0,7.79831e-05,22.6905
native,mippv2_firestorm_mr4_nr4,128,128,128,1,0,0.000185965,22.5542
native,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,2.67535e-06,24.4962
native,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,2.24461e-05,23.3576
native,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,9.37288e-05,18.8786
native,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,0.000191891,21.8578
native,mippv2_firestorm_mr6_nr4,32,32,32,1,0,3.94249e-06,16.623
native,mippv2_firestorm_mr6_nr4,64,64,64,1,0,5.06416e-05,10.3529
native,mippv2_firestorm_mr6_nr4,96,96,96,1,0,8.07738e-05,21.9065
native,mippv2_firestorm_mr6_nr4,128,128,128,1,0,0.000202439,20.7189
native,mippv2_firestorm_mr6_nr4_fmaddi,32,32,32,1,0,3.09364e-06,21.1841
native,mippv2_firestorm_mr6_nr4_fmaddi,64,64,64,1,0,2.52508e-05,20.7632
native,mippv2_firestorm_mr6_nr4_fmaddi,96,96,96,1,0,8.46871e-05,20.8942
native,mippv2_firestorm_mr6_nr4_fmaddi,128,128,128,1,0,0.000193572,21.6679
native,mippv2_zen4_mr4_nr4,32,32,32,1,0,2.68574e-06,24.4015
native,mippv2_zen4_mr4_nr4,64,64,64,1,0,2.84675e-05,18.4171
native,mippv2_zen4_mr4_nr4,96,96,96,1,0,0.000103038,17.173
native,mippv2_zen4_mr4_nr4,128,128,128,1,0,0.000195066,21.502
native,mippv2_zen4_mr4_nr4_fmaddi,32,32,32,1,0,2.65891e-06,24.6477
native,mippv2_zen4_mr4_nr4_fmaddi,64,64,64,1,0,2.21917e-05,23.6254
native,mippv2_zen4_mr4_nr4_fmaddi,96,96,96,1,0,8.3014e-05,21.3153
native,mippv2_zen4_mr4_nr4_fmaddi,128,128,128,1,0,0.000201178,20.8488
native,mippv2_x100_register_blocked_lmul1,32,32,32,1,0,2.66051e-06,24.6329
native,mippv2_x100_register_blocked_lmul1,64,64,64,1,0,2.09887e-05,24.9796
native,mippv2_x100_register_blocked_lmul1,96,96,96,1,0,0.000104575,16.9206
native,mippv2_x100_register_blocked_lmul1,128,128,128,1,0,0.000232516,18.0388
native,mippv2_x100_register_blocked_lmul2,32,32,32,1,0,2.15568e-06,30.4015
native,mippv2_x100_register_blocked_lmul2,64,64,64,1,0,1.85872e-05,28.2069
native,mippv2_x100_register_blocked_lmul2,96,96,96,1,0,6.78637e-05,26.0739
native,mippv2_x100_register_blocked_lmul2,128,128,128,1,0,0.000216419,19.3805
native,mippv2_x100_register_blocked_lmul4,32,32,32,1,0,3.22607e-06,20.3145
native,mippv2_x100_register_blocked_lmul4,64,64,64,1,0,3.06819e-05,17.0878
native,mippv2_x100_register_blocked_lmul4,96,96,96,1,0,0.000109709,16.1288
native,mippv2_x100_register_blocked_lmul4,128,128,128,1,0,0.000273196,15.3527
native,mippv2_x100_register_blocked_apack4,32,32,32,1,0,2.13469e-06,30.7005
native,mippv2_x100_register_blocked_apack4,64,64,64,1,0,1.98574e-05,26.4026
native,mippv2_x100_register_blocked_apack4,96,96,96,1,0,7.07863e-05,24.9974
native,mippv2_x100_register_blocked_apack4,128,128,128,1,0,0.00019656,21.3386
native,mippv2_panel_x100_lmul1,32,32,32,1,0,2.48212e-06,26.4033
native,mippv2_panel_x100_lmul1,64,64,64,1,0,2.21322e-05,23.6889
native,mippv2_panel_x100_lmul1,96,96,96,1,0,8.27139e-05,21.3927
native,mippv2_panel_x100_lmul1,128,128,128,1,0,0.000257348,16.2982
native,mippv2_panel_x100_lmul2,32,32,32,1,0,2.12339e-06,30.8638
native,mippv2_panel_x100_lmul2,64,64,64,1,0,2.02367e-05,25.9078
native,mippv2_panel_x100_lmul2,96,96,96,1,0,8.19122e-05,21.6021
native,mippv2_panel_x100_lmul2,128,128,128,1,0,0.000258019,16.2558
native,mippv2_panel_x100_lmul4,32,32,32,1,0,3.4539e-06,18.9745
native,mippv2_panel_x100_lmul4,64,64,64,1,0,3.22774e-05,16.2432
native,mippv2_panel_x100_lmul4,96,96,96,1,0,0.000153784,11.5062
native,mippv2_panel_x100_lmul4,128,128,128,1,0,0.00031834,13.1756
native,mippv2_x60_mr6_nr4_fmaddi,32,32,32,1,0,3.08454e-06,21.2466
native,mippv2_x60_mr6_nr4_fmaddi,64,64,64,1,0,2.41314e-05,21.7264
native,mippv2_x60_mr6_nr4_fmaddi,96,96,96,1,0,8.13013e-05,21.7644
native,mippv2_x60_mr6_nr4_fmaddi,128,128,128,1,0,0.000257609,16.2817
native,mippv2_a100_mr7_nr4_pipe,32,32,32,1,0,3.84747e-06,17.0335
native,mippv2_a100_mr7_nr4_pipe,64,64,64,1,0,3.37508e-05,15.5341
native,mippv2_a100_mr7_nr4_pipe,96,96,96,1,0,0.000163238,10.8398
native,mippv2_a100_mr7_nr4_pipe,128,128,128,1,0,0.000235978,17.7741
native,mippv2_a100_mr7_nr2_lmul2_pipe,32,32,32,1,0,4.82166e-06,13.592
native,mippv2_a100_mr7_nr2_lmul2_pipe,64,64,64,1,0,5.86453e-05,8.93998
native,mippv2_a100_mr7_nr2_lmul2_pipe,96,96,96,1,0,0.000104381,16.952
native,mippv2_a100_mr7_nr2_lmul2_pipe,128,128,128,1,0,0.000337858,12.4144
