Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
rvv,ijk,32,32,32,1,0,3.70765e-05,1.76759
rvv,ijk,64,64,64,1,0,0.000311415,1.68357
rvv,ijk,96,96,96,1,0,0.00482741,0.366547
rvv,ijk,128,128,128,1,0,0.0108872,0.38525
rvv,blocked_register_blocked,32,32,32,1,0,1.12312e-05,5.83518
rvv,blocked_register_blocked,64,64,64,1,0,8.70933e-05,6.01984
rvv,blocked_register_blocked,96,96,96,1,0,0.000725076,2.4404
rvv,blocked_register_blocked,128,128,128,1,0,0.00160345,2.61579
rvv,mippv2_skylake_register_blocked,32,32,32,1,0,7.09999e-06,9.23044
rvv,mippv2_skylake_register_blocked,64,64,64,1,0,5.62529e-05,9.3202
rvv,mippv2_skylake_register_blocked,96,96,96,1,0,0.000252894,6.9969
rvv,mippv2_skylake_register_blocked,128,128,128,1,0,0.000598288,7.01051
rvv,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,1.23519e-05,5.30576
rvv,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,9.70878e-05,5.40014
rvv,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.000704504,2.51166
rvv,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.00165598,2.53282
rvv,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,8.70737e-06,7.5265
rvv,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,6.94544e-05,7.54867
rvv,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,0.0004346,4.0715
rvv,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.00106862,3.92497
rvv,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,7.91098e-06,8.28419
rvv,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,6.27301e-05,8.35784
rvv,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,0.000332936,5.31474
rvv,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.000833455,5.03243
rvv,mippv2_skylake_panel,32,32,32,1,0,7.36227e-06,8.9016
rvv,mippv2_skylake_panel,64,64,64,1,0,5.70777e-05,9.18551
rvv,mippv2_skylake_panel,96,96,96,1,0,0.000369667,4.78667
rvv,mippv2_skylake_panel,128,128,128,1,0,0.000899091,4.66505
rvv,mippv2_skylake_panel_lmul,32,32,32,1,0,1.23679e-05,5.29889
rvv,mippv2_skylake_panel_lmul,64,64,64,1,0,9.72201e-05,5.39279
rvv,mippv2_skylake_panel_lmul,96,96,96,1,0,0.00049909,3.5454
rvv,mippv2_skylake_panel_lmul,128,128,128,1,0,0.00117827,3.55972
rvv,mippv2_skylake_panel_lmul2,32,32,32,1,0,9.73308e-06,6.73333
rvv,mippv2_skylake_panel_lmul2,64,64,64,1,0,7.66677e-05,6.83845
rvv,mippv2_skylake_panel_lmul2,96,96,96,1,0,0.000349576,5.06176
rvv,mippv2_skylake_panel_lmul2,128,128,128,1,0,0.000836546,5.01384
rvv,mippv2_skylake_panel_lmul4,32,32,32,1,0,9.14965e-06,7.16268
rvv,mippv2_skylake_panel_lmul4,64,64,64,1,0,7.17993e-05,7.30213
rvv,mippv2_skylake_panel_lmul4,96,96,96,1,0,0.000251632,7.03198
rvv,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.000595744,7.04045
rvv,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,6.97497e-06,9.39588
rvv,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,5.46254e-05,9.59788
rvv,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,0.000203868,8.67952
rvv,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,0.000485971,8.63077
rvv,mippv2_a76_mr6_nr3,32,32,32,1,0,6.48521e-06,10.1055
rvv,mippv2_a76_mr6_nr3,64,64,64,1,0,5.09508e-05,10.2901
rvv,mippv2_a76_mr6_nr3,96,96,96,1,0,0.000180837,9.78491
rvv,mippv2_a76_mr6_nr3,128,128,128,1,0,0.00042937,9.76851
rvv,mippv2_firestorm_mr4_nr4,32,32,32,1,0,6.35421e-06,10.3138
rvv,mippv2_firestorm_mr4_nr4,64,64,64,1,0,4.82011e-05,10.8771
rvv,mippv2_firestorm_mr4_nr4,96,96,96,1,0,0.000189725,9.32649
rvv,mippv2_firestorm_mr4_nr4,128,128,128,1,0,0.000457946,9.15896
rvv,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,4.53394e-06,14.4545
rvv,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,3.52287e-05,14.8824
rvv,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,0.000156432,11.3115
rvv,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,0.000359218,11.6762
rvv,mippv2_firestorm_mr6_nr4,32,32,32,1,0,9.54246e-06,6.86783
rvv,mippv2_firestorm_mr6_nr4,64,64,64,1,0,7.51743e-05,6.97429
rvv,mippv2_firestorm_mr6_nr4,96,96,96,1,0,0.000323971,5.46182
rvv,mippv2_firestorm_mr6_nr4,128,128,128,1,0,0.000696374,6.02306
rvv,mippv2_firestorm_mr6_nr4_fmaddi,32,32,32,1,0,4.1934e-06,15.6284
rvv,mippv2_firestorm_mr6_nr4_fmaddi,64,64,64,1,0,3.21875e-05,16.2886
rvv,mippv2_firestorm_mr6_nr4_fmaddi,96,96,96,1,0,0.000134347,13.1709
rvv,mippv2_firestorm_mr6_nr4_fmaddi,128,128,128,1,0,0.000325866,12.8713
rvv,mippv2_zen4_mr4_nr4,32,32,32,1,0,6.32619e-06,10.3595
rvv,mippv2_zen4_mr4_nr4,64,64,64,1,0,4.81756e-05,10.8829
rvv,mippv2_zen4_mr4_nr4,96,96,96,1,0,0.000190523,9.28745
rvv,mippv2_zen4_mr4_nr4,128,128,128,1,0,0.000459489,9.1282
rvv,mippv2_zen4_mr4_nr4_fmaddi,32,32,32,1,0,4.53567e-06,14.449
rvv,mippv2_zen4_mr4_nr4_fmaddi,64,64,64,1,0,3.53144e-05,14.8463
rvv,mippv2_zen4_mr4_nr4_fmaddi,96,96,96,1,0,0.000156102,11.3354
rvv,mippv2_zen4_mr4_nr4_fmaddi,128,128,128,1,0,0.000358755,11.6913
rvv,mippv2_x100_register_blocked_lmul1,32,32,32,1,0,5.12179e-06,12.7955
rvv,mippv2_x100_register_blocked_lmul1,64,64,64,1,0,3.96203e-05,13.2328
rvv,mippv2_x100_register_blocked_lmul1,96,96,96,1,0,0.000174368,10.1479
rvv,mippv2_x100_register_blocked_lmul1,128,128,128,1,0,0.000441486,9.50042
rvv,mippv2_x100_register_blocked_lmul2,32,32,32,1,0,3.87512e-06,16.912
rvv,mippv2_x100_register_blocked_lmul2,64,64,64,1,0,2.9821e-05,17.5811
rvv,mippv2_x100_register_blocked_lmul2,96,96,96,1,0,0.000151112,11.7096
rvv,mippv2_x100_register_blocked_lmul2,128,128,128,1,0,0.000392656,10.6819
rvv,mippv2_x100_register_blocked_lmul4,32,32,32,1,0,4.26683e-06,15.3594
rvv,mippv2_x100_register_blocked_lmul4,64,64,64,1,0,3.07955e-05,17.0248
rvv,mippv2_x100_register_blocked_lmul4,96,96,96,1,0,0.000170917,10.3528
rvv,mippv2_x100_register_blocked_lmul4,128,128,128,1,0,0.000454946,9.21935
rvv,mippv2_x100_register_blocked_apack4,32,32,32,1,0,3.9202e-06,16.7175
rvv,mippv2_x100_register_blocked_apack4,64,64,64,1,0,2.94295e-05,17.8151
rvv,mippv2_x100_register_blocked_apack4,96,96,96,1,0,0.00015099,11.7191
rvv,mippv2_x100_register_blocked_apack4,128,128,128,1,0,0.000398646,10.5214
rvv,mippv2_panel_x100_lmul1,32,32,32,1,0,5.00499e-06,13.0941
rvv,mippv2_panel_x100_lmul1,64,64,64,1,0,4.24175e-05,12.3602
rvv,mippv2_panel_x100_lmul1,96,96,96,1,0,0.000194791,9.08396
rvv,mippv2_panel_x100_lmul1,128,128,128,1,0,0.000501946,8.35609
rvv,mippv2_panel_x100_lmul2,32,32,32,1,0,4.18882e-06,15.6454
