Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
rvv,ijk,32,32,32,1,0,3.21137e-05,2.04075
rvv,ijk,64,64,64,1,0,0.00021091,2.48584
rvv,ijk,96,96,96,1,0,0.0050085,0.353294
rvv,ijk,128,128,128,1,0,0.0117908,0.355726
rvv,blocked_register_blocked,32,32,32,1,0,1.16313e-05,5.63447
rvv,blocked_register_blocked,64,64,64,1,0,9.06034e-05,5.78663
rvv,blocked_register_blocked,96,96,96,1,0,0.000816627,2.16681
rvv,blocked_register_blocked,128,128,128,1,0,0.00163241,2.56939
rvv,mippv2_skylake_register_blocked,32,32,32,1,0,9.58764e-06,6.83547
rvv,mippv2_skylake_register_blocked,64,64,64,1,0,7.53897e-05,6.95437
rvv,mippv2_skylake_register_blocked,96,96,96,1,0,0.000293331,6.03233
rvv,mippv2_skylake_register_blocked,128,128,128,1,0,0.000696702,6.02022
rvv,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,1.11795e-05,5.86216
rvv,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,8.89309e-05,5.89546
rvv,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,0.000670899,2.63746
rvv,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,0.00159048,2.63714
rvv,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,9.07663e-06,7.2203
rvv,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,7.16988e-05,7.31237
rvv,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,0.000425661,4.157
rvv,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,0.00102059,4.10967
rvv,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,9.61988e-06,6.81256
rvv,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,7.57476e-05,6.92151
rvv,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,0.000352253,5.0233
rvv,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,0.000848142,4.94529
rvv,mippv2_skylake_panel,32,32,32,1,0,1.003e-05,6.53402
rvv,mippv2_skylake_panel,64,64,64,1,0,8.00492e-05,6.54957
rvv,mippv2_skylake_panel,96,96,96,1,0,0.00041436,4.27037
rvv,mippv2_skylake_panel,128,128,128,1,0,0.0010214,4.10644
rvv,mippv2_skylake_panel_lmul,32,32,32,1,0,1.14199e-05,5.73876
rvv,mippv2_skylake_panel_lmul,64,64,64,1,0,9.07387e-05,5.778
rvv,mippv2_skylake_panel_lmul,96,96,96,1,0,0.00054748,3.23203
rvv,mippv2_skylake_panel_lmul,128,128,128,1,0,0.00128922,3.25336
rvv,mippv2_skylake_panel_lmul2,32,32,32,1,0,9.79311e-06,6.69205
rvv,mippv2_skylake_panel_lmul2,64,64,64,1,0,7.73103e-05,6.7816
rvv,mippv2_skylake_panel_lmul2,96,96,96,1,0,0.000407727,4.33985
rvv,mippv2_skylake_panel_lmul2,128,128,128,1,0,0.000982923,4.26717
rvv,mippv2_skylake_panel_lmul4,32,32,32,1,0,1.01469e-05,6.4587
rvv,mippv2_skylake_panel_lmul4,64,64,64,1,0,7.94564e-05,6.59843
rvv,mippv2_skylake_panel_lmul4,96,96,96,1,0,0.000354815,4.98703
rvv,mippv2_skylake_panel_lmul4,128,128,128,1,0,0.000858641,4.88482
rvv,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,1.2423e-05,5.27538
rvv,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,9.83431e-05,5.33121
rvv,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,0.00036018,4.91274
rvv,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,0.00087981,4.76729
rvv,mippv2_a76_mr6_nr3,32,32,32,1,0,1.27614e-05,5.1355
rvv,mippv2_a76_mr6_nr3,64,64,64,1,0,0.000100723,5.20526
rvv,mippv2_a76_mr6_nr3,96,96,96,1,0,0.000361526,4.89445
rvv,mippv2_a76_mr6_nr3,128,128,128,1,0,0.000857543,4.89107
rvv,mippv2_firestorm_mr4_nr4,32,32,32,1,0,1.29973e-05,5.04228
rvv,mippv2_firestorm_mr4_nr4,64,64,64,1,0,0.000103175,5.08154
rvv,mippv2_firestorm_mr4_nr4,96,96,96,1,0,0.000356623,4.96174
rvv,mippv2_firestorm_mr4_nr4,128,128,128,1,0,0.000848545,4.94294
rvv,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,4.32724e-06,15.145
rvv,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,3.35412e-05,15.6312
rvv,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,0.000156276,11.3227
rvv,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,0.000365701,11.4692
rvv,mippv2_firestorm_mr6_nr4,32,32,32,1,0,1.39871e-05,4.68547
rvv,mippv2_firestorm_mr6_nr4,64,64,64,1,0,0.000111165,4.7163
rvv,mippv2_firestorm_mr6_nr4,96,96,96,1,0,0.000452251,3.91259
rvv,mippv2_firestorm_mr6_nr4,128,128,128,1,0,0.000984853,4.25881
rvv,mippv2_firestorm_mr6_nr4_fmaddi,32,32,32,1,0,4.19977e-06,15.6047
rvv,mippv2_firestorm_mr6_nr4_fmaddi,64,64,64,1,0,3.23838e-05,16.1898
rvv,mippv2_firestorm_mr6_nr4_fmaddi,96,96,96,1,0,0.000141108,12.5398
rvv,mippv2_firestorm_mr6_nr4_fmaddi,128,128,128,1,0,0.000332085,12.6302
rvv,mippv2_zen4_mr4_nr4,32,32,32,1,0,1.3e-05,5.04125
rvv,mippv2_zen4_mr4_nr4,64,64,64,1,0,0.000103147,5.08294
rvv,mippv2_zen4_mr4_nr4,96,96,96,1,0,0.000355499,4.97743
rvv,mippv2_zen4_mr4_nr4,128,128,128,1,0,0.000850216,4.93322
rvv,mippv2_zen4_mr4_nr4_fmaddi,32,32,32,1,0,4.32886e-06,15.1393
rvv,mippv2_zen4_mr4_nr4_fmaddi,64,64,64,1,0,3.35716e-05,15.617
rvv,mippv2_zen4_mr4_nr4_fmaddi,96,96,96,1,0,0.000156393,11.3143
rvv,mippv2_zen4_mr4_nr4_fmaddi,128,128,128,1,0,0.000362366,11.5748
