Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
native,ijk,32,32,32,1,0,7.82286e-06,8.37749
native,ijk,64,64,64,1,0,5.38873e-05,9.72934
native,ijk,96,96,96,1,0,0.000553236,3.1984
native,ijk,128,128,128,1,0,0.00128363,3.26754
native,blocked_register_blocked,32,32,32,1,0,1.79004e-06,36.6114
native,blocked_register_blocked,64,64,64,1,0,1.66601e-05,31.4696
native,blocked_register_blocked,96,96,96,1,0,7.29819e-05,24.2454
native,blocked_register_blocked,128,128,128,1,0,0.000164226,25.5398
native,mippv2_skylake_register_blocked,32,32,32,1,0,1.1142e-06,58.8187
native,mippv2_skylake_register_blocked,64,64,64,1,0,8.87441e-06,59.0787
native,mippv2_skylake_register_blocked,96,96,96,1,0,2.95199e-05,59.9416
native,mippv2_skylake_register_blocked,128,128,128,1,0,6.95171e-05,60.3349
native,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,1.45638e-06,44.9993
native,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,1.12301e-05,46.6859
native,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,3.66929e-05,48.2239
native,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,8.91493e-05,47.0481
native,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,1.07798e-06,60.7952
native,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,8.7988e-06,59.5863
native,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,3.10909e-05,56.9128
native,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,7.00628e-05,59.8649
native,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,9.99121e-07,65.5936
native,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,8.09034e-06,64.8042
native,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,2.71159e-05,65.2558
native,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,6.33186e-05,66.2412
native,mippv2_skylake_panel,32,32,32,1,0,1.12093e-06,58.4658
native,mippv2_skylake_panel,64,64,64,1,0,9.04424e-06,57.9693
native,mippv2_skylake_panel,96,96,96,1,0,2.94676e-05,60.048
native,mippv2_skylake_panel,128,128,128,1,0,6.94907e-05,60.3578
native,mippv2_skylake_panel_lmul,32,32,32,1,0,8.64172e-07,75.8368
native,mippv2_skylake_panel_lmul,64,64,64,1,0,7.48056e-06,70.0867
