Build,Kernel,M,N,K,Alpha,Beta,Time_s,GFLOPS
native,ijk,32,32,32,1,0,6.88606e-06,9.51719
native,ijk,64,64,64,1,0,8.11826e-05,6.45813
native,ijk,96,96,96,1,0,0.000477126,3.7086
native,ijk,128,128,128,1,0,0.00116769,3.59197
native,blocked_register_blocked,32,32,32,1,0,3.46926e-06,18.8905
native,blocked_register_blocked,64,64,64,1,0,2.37547e-05,22.0709
native,blocked_register_blocked,96,96,96,1,0,8.76692e-05,20.1835
native,blocked_register_blocked,128,128,128,1,0,0.000200611,20.9076
native,mippv2_skylake_register_blocked,32,32,32,1,0,9.2598e-07,70.7748
native,mippv2_skylake_register_blocked,64,64,64,1,0,7.78109e-06,67.3798
native,mippv2_skylake_register_blocked,96,96,96,1,0,2.22947e-05,79.3675
native,mippv2_skylake_register_blocked,128,128,128,1,0,5.29718e-05,79.1799
native,mippv2_skylake_lmul_register_blocked,32,32,32,1,0,1.09456e-06,59.8741
native,mippv2_skylake_lmul_register_blocked,64,64,64,1,0,9.57957e-06,54.7298
native,mippv2_skylake_lmul_register_blocked,96,96,96,1,0,3.67049e-05,48.208
native,mippv2_skylake_lmul_register_blocked,128,128,128,1,0,9.09051e-05,46.1394
native,mippv2_skylake_lmul2_register_blocked,32,32,32,1,0,1.04119e-06,62.9432
native,mippv2_skylake_lmul2_register_blocked,64,64,64,1,0,9.04715e-06,57.9506
native,mippv2_skylake_lmul2_register_blocked,96,96,96,1,0,2.7958e-05,63.2904
native,mippv2_skylake_lmul2_register_blocked,128,128,128,1,0,6.64121e-05,63.1557
native,mippv2_skylake_lmul4_register_blocked,32,32,32,1,0,9.25249e-07,70.8306
native,mippv2_skylake_lmul4_register_blocked,64,64,64,1,0,7.28169e-06,72.0009
native,mippv2_skylake_lmul4_register_blocked,96,96,96,1,0,2.42123e-05,73.0816
native,mippv2_skylake_lmul4_register_blocked,128,128,128,1,0,5.72985e-05,73.201
native,mippv2_skylake_panel,32,32,32,1,0,1.19757e-06,54.724
native,mippv2_skylake_panel,64,64,64,1,0,7.85716e-06,66.7275
native,mippv2_skylake_panel,96,96,96,1,0,2.26438e-05,78.1439
native,mippv2_skylake_panel,128,128,128,1,0,5.36509e-05,78.1776
native,mippv2_skylake_panel_lmul,32,32,32,1,0,9.56284e-07,68.532
native,mippv2_skylake_panel_lmul,64,64,64,1,0,6.99986e-06,74.8998
native,mippv2_skylake_panel_lmul,96,96,96,1,0,2.6524e-05,66.712
native,mippv2_skylake_panel_lmul,128,128,128,1,0,6.31253e-05,66.4441
native,mippv2_skylake_panel_lmul2,32,32,32,1,0,8.19796e-07,79.9419
native,mippv2_skylake_panel_lmul2,64,64,64,1,0,7.78023e-06,67.3872
native,mippv2_skylake_panel_lmul2,96,96,96,1,0,2.23577e-05,79.1439
native,mippv2_skylake_panel_lmul2,128,128,128,1,0,5.31326e-05,78.9403
native,mippv2_skylake_panel_lmul4,32,32,32,1,0,9.2046e-07,71.1992
native,mippv2_skylake_panel_lmul4,64,64,64,1,0,7.8205e-06,67.0402
native,mippv2_skylake_panel_lmul4,96,96,96,1,0,2.21823e-05,79.7696
native,mippv2_skylake_panel_lmul4,128,128,128,1,0,5.26727e-05,79.6296
native,mippv2_meteorlake_mr4_nr3,32,32,32,1,0,9.29468e-07,70.5091
native,mippv2_meteorlake_mr4_nr3,64,64,64,1,0,6.64933e-06,78.8483
native,mippv2_meteorlake_mr4_nr3,96,96,96,1,0,2.22036e-05,79.6931
native,mippv2_meteorlake_mr4_nr3,128,128,128,1,0,5.27322e-05,79.5397
native,mippv2_a76_mr6_nr3,32,32,32,1,0,9.30033e-07,70.4663
native,mippv2_a76_mr6_nr3,64,64,64,1,0,7.82004e-06,67.0441
native,mippv2_a76_mr6_nr3,96,96,96,1,0,2.21376e-05,79.9305
native,mippv2_a76_mr6_nr3,128,128,128,1,0,5.28575e-05,79.3512
native,mippv2_firestorm_mr4_nr4,32,32,32,1,0,9.19997e-07,71.235
native,mippv2_firestorm_mr4_nr4,64,64,64,1,0,7.72786e-06,67.8438
native,mippv2_firestorm_mr4_nr4,96,96,96,1,0,2.2165e-05,79.8318
native,mippv2_firestorm_mr4_nr4,128,128,128,1,0,5.2605e-05,79.732
native,mippv2_firestorm_mr4_nr4_fmaddi,32,32,32,1,0,9.23803e-07,70.9416
native,mippv2_firestorm_mr4_nr4_fmaddi,64,64,64,1,0,7.73598e-06,67.7726
native,mippv2_firestorm_mr4_nr4_fmaddi,96,96,96,1,0,2.21375e-05,79.9311
native,mippv2_firestorm_mr4_nr4_fmaddi,128,128,128,1,0,5.26021e-05,79.7364
native,mippv2_firestorm_mr6_nr4,32,32,32,1,0,9.06041e-07,72.3323
native,mippv2_firestorm_mr6_nr4,64,64,64,1,0,7.76371e-06,67.5306
native,mippv2_firestorm_mr6_nr4,96,96,96,1,0,2.21006e-05,80.0645
native,mippv2_firestorm_mr6_nr4,128,128,128,1,0,5.25111e-05,79.8746
native,mippv2_firestorm_mr6_nr4_fmaddi,32,32,32,1,0,9.1837e-07,71.3612
native,mippv2_firestorm_mr6_nr4_fmaddi,64,64,64,1,0,7.75094e-06,67.6418
native,mippv2_firestorm_mr6_nr4_fmaddi,96,96,96,1,0,2.20867e-05,80.1149
native,mippv2_firestorm_mr6_nr4_fmaddi,128,128,128,1,0,5.24983e-05,79.8941
native,mippv2_zen4_mr4_nr4,32,32,32,1,0,9.20563e-07,71.1912
native,mippv2_zen4_mr4_nr4,64,64,64,1,0,7.72369e-06,67.8805
native,mippv2_zen4_mr4_nr4,96,96,96,1,0,2.21424e-05,79.9133
native,mippv2_zen4_mr4_nr4,128,128,128,1,0,5.25957e-05,79.7462
native,mippv2_zen4_mr4_nr4_fmaddi,32,32,32,1,0,9.20492e-07,71.1967
native,mippv2_zen4_mr4_nr4_fmaddi,64,64,64,1,0,7.83339e-06,66.9299
native,mippv2_zen4_mr4_nr4_fmaddi,96,96,96,1,0,2.21299e-05,79.9584
native,mippv2_zen4_mr4_nr4_fmaddi,128,128,128,1,0,5.25718e-05,79.7824
native,mippv2_x100_register_blocked_lmul1,32,32,32,1,0,9.80256e-07,66.856
native,mippv2_x100_register_blocked_lmul1,64,64,64,1,0,8.0317e-06,65.2773
native,mippv2_x100_register_blocked_lmul1,96,96,96,1,0,2.32944e-05,75.9613
